metric,count,mean,median,std,p25,p75,min,max
total_power_ms2,23,5275.354135526432,5445.416113660654,2170.25279056267,3410.2936180207817,7308.622106510116,1834.7628933351225,8436.655817833202
vlf_ms2,23,3117.982440478245,2810.783848916032,1816.7190699519479,1452.2630410504412,4729.128374155529,600.066777608134,6199.987946231168
lf_ms2,23,1720.6374243108962,1581.2938837506656,528.3331776116221,1432.6239571824935,2170.62819338816,798.0187906542587,2654.7677746190893
hf_ms2,23,280.7734983731765,275.3359966325975,74.83820813051821,208.9765528781797,332.646952339296,180.02063187566807,421.9079451365707
lf_nu,23,84.89633781988084,85.64395661604271,5.8631182571851195,80.3459074790884,89.30393018392974,72.33940546290209,92.51885422039511
hf_nu,23,15.103662180119171,14.356043383957282,5.86311825718512,10.696069816070276,19.654092520911597,7.481145779604885,27.660594537097904
lf_hf,23,6.700352844289073,5.965707564784102,3.1020608261677265,4.088384854077431,8.413570444087366,2.6152512870206657,12.366936422041153
hf_lf,23,0.18349903090754646,0.167624709917572,0.08487483190934712,0.11988135074758098,0.2446241144057138,0.08086076986841587,0.38237243394657316
median_frequency_hz,23,0.03767605112930558,0.033676708562443154,0.01661434329587149,0.028767131008811897,0.044677137709253786,0.017370764243119795,0.07076455843496487
spectral_agreement,23,0.9495429405852172,0.9612605772300288,0.03496742060571421,0.9422034177442773,0.9713968536937784,0.8383942111638566,0.9813120146349599
spectral_agreement_raw,23,0.8986796085379148,0.9289102124377412,0.08064928221181905,0.8873753057657445,0.9487501865539831,0.6486958886456216,0.9688162940661743
spectral_shape_agreement,23,0.9575494449898079,0.9731278806751891,0.04096797694295213,0.9451805167567794,0.9850391733874979,0.8251057372750453,0.9913934459628276
band_power_agreement,23,0.9308610969745059,0.9385894216677266,0.0402272521807038,0.9017267206640556,0.9598148078569151,0.8615188957250857,0.9897651133698191
interpolation_agreement,23,0.9999507803203144,0.999975535331643,7.12181313807661e-05,0.9999451659313403,0.9999865693433732,0.9996894873328039,0.999994876639879
