t_us,elapsed_minutes,frequency_status,frequency_available,total_power_ms2,vlf_ms2,lf_ms2,hf_ms2,lf_hf,median_frequency_hz,median_frequency_mhz
483042043,0.0,LIMITED,False,nan,nan,nan,nan,nan,nan,nan
503840304,0.34663768333333334,LIMITED,False,nan,nan,nan,nan,nan,nan,nan
523954424,0.6818730166666667,LIMITED,False,nan,nan,nan,nan,nan,nan,nan
544120304,1.0179710166666667,LIMITED,False,nan,nan,nan,nan,nan,nan,nan
564280953,1.3539818333333333,LIMITED,False,nan,nan,nan,nan,nan,nan,nan
584359045,1.6886167,LIMITED,False,nan,nan,nan,nan,nan,nan,nan
604537710,2.0249277833333332,LIMITED,False,nan,nan,nan,nan,nan,nan,nan
625119245,2.367953366666667,LIMITED,False,nan,nan,nan,nan,nan,nan,nan
645431581,2.7064923,LIMITED,False,nan,nan,nan,nan,nan,nan,nan
665822658,3.0463435833333334,LIMITED,False,nan,nan,nan,nan,nan,nan,nan
686201757,3.3859952333333334,LIMITED,False,nan,nan,nan,nan,nan,nan,nan
706364932,3.72204815,LIMITED,False,nan,nan,nan,nan,nan,nan,nan
726833293,4.0631875,LIMITED,False,nan,nan,nan,nan,nan,nan,nan
746925046,4.39805005,LIMITED,False,nan,nan,nan,nan,nan,nan,nan
766966843,4.73208,INVALID,False,nan,nan,nan,nan,nan,nan,nan
786988043,5.065766666666667,INVALID,False,nan,nan,nan,nan,nan,nan,nan
807604900,5.40938095,LIMITED,True,4534.305125351945,1911.2720051238744,2231.6208202126636,203.74793476559472,10.952851241314763,0.045471275503318025,45.471275503318026
828282576,5.754008883333333,LIMITED,True,5445.416113660654,2810.783848916032,2238.6915591947027,185.41992512984694,12.073629938244116,0.03653737816442764,36.53737816442764
848472495,6.090507533333334,LIMITED,True,6634.596552330125,3864.4747603978103,2331.5700534024586,188.5325495202663,12.366936422041153,0.03187188072721623,31.87188072721623
869023836,6.433029883333333,LIMITED,True,7830.403689713542,4804.49620960997,2525.3054445910357,214.20517099076466,11.789189929032633,0.03130451962099572,31.304519620995723
889076043,6.767233333333333,LIMITED,True,8436.655817833202,5252.30707568235,2654.7677746190893,248.57449906614718,10.67996831771806,0.03145110037538472,31.45110037538472
909677398,7.11058925,LIMITED,True,7687.736756393052,4653.760538701089,2530.841701838627,275.3359966325975,9.191830101371483,0.03281099650104136,32.810996501041366
930305527,7.4543914,LIMITED,True,6222.5542019500745,3669.9402013309414,2109.6355665636565,283.87846170114614,7.431474561055574,0.033676708562443154,33.67670856244315
950310151,7.7878018,LIMITED,True,4556.332015868952,2601.767863681399,1561.8394561553102,278.3372358774772,5.6113205666913535,0.03461288370909393,34.612883709093936
