metric,count,mean,median,std,p25,p75,min,max
total_power_ms2,184,3339.6753609304114,3063.005890485184,1671.535919149206,2154.1827786288013,4128.646996398257,738.8197217224948,8619.659904201308
vlf_ms2,184,1836.4896458002988,1687.6211705246078,1178.03590408368,840.6864155743325,2543.8146952369334,142.2673233864196,5423.156901995157
lf_ms2,184,1068.3590381020915,935.96766300707,545.4580380892329,709.6891360097663,1324.235830728196,330.1481447080556,2895.6201178190104
hf_ms2,184,350.18596919203856,275.36756167873796,246.26227540068385,218.08567836279062,380.264257192384,135.01391965623012,1661.423237540409
lf_nu,184,74.7634738056898,76.6350187348248,9.474982206569592,68.95440087259368,81.59058312361687,48.87569411366314,91.37557382753711
hf_nu,184,25.236526194310187,23.364981265175214,9.474982206569592,18.409416876383137,31.04559912740632,8.62442617246288,51.12430588633685
lf_hf,184,3.543982958503428,3.279912550829689,1.753630618874223,2.2210728121550285,4.432003848186042,0.9560167764884087,10.594974320644335
hf_lf,184,0.36266514838822295,0.3048865749395479,0.202354553166272,0.22563165205790237,0.45023415781943327,0.09438437222556523,1.0460067486191489
median_frequency_hz,184,0.04256895711006008,0.037526441123471005,0.026075731658373135,0.02165334368373959,0.05343177308038846,0.010467530060128091,0.12904538523236317
spectral_agreement,184,0.9232594649394975,0.9409267474041606,0.055855494681061525,0.9025064800560222,0.9606608381813588,0.6583792833357169,0.9833820604643374
spectral_agreement_raw,184,0.8228966893396968,0.8462652277830087,0.10573573982098837,0.7738636259907969,0.8989170461234401,0.44816057578622703,0.9903126673833278
spectral_shape_agreement,184,0.9291356021845558,0.9543788435100182,0.07027713753772534,0.9162451303583422,0.9724896695619382,0.5939784864925229,0.9935173040661672
band_power_agreement,184,0.9095484780343616,0.9161139734110731,0.053044200435764265,0.8859211589430821,0.9478305394226444,0.7065299010306038,0.9887961577890141
interpolation_agreement,184,0.999913031214991,0.9999698918273663,0.0001938866707897571,0.9999324541624096,0.999983910468055,0.9985783474210846,0.9999974547452091
