t_us,hr_bpm,time_status,time_validity_reason,rmssd_ms,rmssd_ci_low_ms,rmssd_ci_high_ms,sdnn_ms,pnn50_percent,fiducial_quality_mean,fiducial_uncertainty_p95_ms,fiducial_shift_p95_ms,fiducial_unstable_ratio,frequency_status,frequency_validity_reason,frequency_ready,frequency_progress,frequency_duration_seconds,total_power_ms2,vlf_ms2,lf_ms2,hf_ms2,lf_nu,hf_nu,lf_hf,hf_lf,median_frequency_hz,thm_power_ms2,resonance_band_power_ms2,resonance_share,lf_peak_frequency_hz,lf_peak_prominence_ratio,spectral_agreement,spectral_agreement_raw,spectral_shape_agreement,band_power_agreement,interpolation_agreement,frequency_waveform_inserted_ratio,frequency_timing_recovered_ratio,frequency_timing_shift_delta_p95_ms,dual_detector_ratio,single_detector_ratio,detector_consensus_mean,detector_time_spread_p95_ms,sequence_rescue_ratio,local_clip_ratio,firmware_unmatched_ratio,sqi,transport_score,transport_status,contact_score,contact_status,overall_status,detected_artifact_ratio,corrected_ratio,unresolved_suspect_ratio,max_consecutive_artifacts,max_consecutive_unresolved,resolved_artifact_ratio,protocol_error_ratio,protocol_crc_errors,protocol_format_errors,protocol_seq_gaps
67776373920,78.12510172539287,VALID,,25.612865329612326,22.039934496878146,29.288304751020537,51.346268259336135,3.571428571428571,1.0,5.0,20.003949999999318,0.0,LIMITED,频域窗口积累中：224/300 秒,False,0.7460266666666818,223.80800000000454,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995295551389126,0.9986738878472815,VALID,1.0,VALID,LIMITED,0.03333333333333333,0.016666666666666666,0.0,2,0,0.03333333333333333,3.4088972217487644e-05,0,1,0
67796957921,89.28571428571429,VALID,,23.54306859130549,20.448172242238584,26.817823433562445,51.01203141090018,1.694915254237288,0.9993423081825614,5.0,248.80289999999994,0.0,LIMITED,频域窗口积累中：244/300 秒,False,0.8146400033333339,244.39200100000016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995436620599087,0.9987091551497719,VALID,1.0,VALID,LIMITED,0.0,0.0,0.0,0,0,0.0,3.1267588018260274e-05,0,1,0
67817037918,94.93715951183313,VALID,,28.768966501116665,22.695370585809794,36.426013974279684,49.99897335685834,5.084745762711865,0.9993423081825615,5.0,247.99904999999998,0.0,LIMITED,频域窗口积累中：264/300 秒,False,0.8815733266666939,264.47199800000817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995955051456733,0.9987376286418322,VALID,0.9948,VALID,LIMITED,0.0,0.0,0.0,0,0,0.0,2.8989708653428032e-05,0,1,0
67837373920,80.64537807897332,VALID,,29.915048271759396,23.783510168914347,36.6408375883428,69.69296151850872,6.779661016949152,1.0,5.0,248.79984999999996,0.0,LIMITED,频域窗口积累中：285/300 秒,False,0.9493600000000151,284.80800000000454,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9959651600550148,0.9987629001375369,VALID,0.9948,VALID,LIMITED,0.0,0.0,0.0,0,0,0.0,2.696798899706049e-05,0,1,0
67857493920,78.94705678793373,VALID,,27.35843707468486,23.685416570461253,30.667407254802708,41.568998545033594,3.389830508474576,1.0,5.0,248.79699999999997,0.0,LIMITED,受限输出：心搏峰附近削底/饱和 2.1%；Welch/Lomb 稳健一致性 79%；频带一致性 78%；两种频率算法差异较大 79%；快慢节律分布算法差异较大 78%,True,1.0,300.0480009999883,1552.6752659333456,572.739969099915,697.0296650488407,237.5175598927113,74.58474504511358,25.415254954886414,2.934644770532734,0.34075674508927606,0.06053012461561718,292.58351648424036,245.3571155490895,0.2615201468323188,0.06640625,4.642599281476389,0.7939041534482325,0.6381381610331165,0.7985701809034822,0.7830167560526501,0.9998784862470983,0.0045662100456621,0.0045662100456621,255.5971499999999,0.9954337899543378,0.0045662100456621,0.9984644508871406,0.0,0.0045662100456621,0.02054794520547945,0.07990867579908675,0.9881770057150586,0.998784916313773,VALID,0.9835377232737936,VALID,LIMITED,0.0,0.0,0.0,0,0,0.0,2.5206694898164952e-05,0,1,0
67877589920,89.28584715155826,VALID,,26.594313373606,22.874999812065866,30.296539016285585,45.5336012240343,1.694915254237288,1.0,5.0,204.40389999999974,0.0,LIMITED,受限输出：Welch/Lomb 稳健一致性 89%；频带一致性 83%,True,1.0,300.44800200000464,1701.870690260767,729.6054863500058,709.4806203424612,217.44202769284078,76.54151312909127,23.45848687090872,3.262849541417428,0.3064805738990913,0.05173825827685899,292.43591606411064,242.83082096341826,0.2613474017302627,0.0625,5.842181177468449,0.8932556487044019,0.8191711926623528,0.9182442008775284,0.8349490269671067,0.9999375056017333,0.0022935779816513763,0.0022935779816513763,255.5971499999999,0.9977064220183486,0.0022935779816513763,0.9990060045390906,0.0,0.0022935779816513763,0.016055045871559634,0.07568807339449542,0.9995814744577457,0.9988036861443642,VALID,1.0,VALID,LIMITED,0.0,0.0,0.0,0,0,0.0,2.3705108450871162e-05,0,1,0
67897765920,92.5925925925926,VALID,,24.690870034303117,19.608775695628903,29.928964381090644,43.686454532579305,3.389830508474576,1.0,5.0,272.40094999999997,0.0,VALID,,True,1.0,300.21600300000864,1976.0857323006926,1032.0681560537869,709.7586412322014,184.53203096978422,79.365542244177,20.634457755822993,3.846262556707129,0.2599926513743051,0.03600118615641427,315.83206752520715,244.49180637992478,0.27269083929842103,0.0625,5.8477803637211325,0.9538870650459373,0.8144084328607288,0.9643114198471563,0.9295635705097601,0.9999746415328605,0.0,0.0,263.19739999999985,1.0,0.0,0.9996722881349024,0.0,0.0,0.009153318077803204,0.07551487414187644,0.96418816319227,0.9988204079806747,VALID,0.9488666666666666,VALID,VALID,0.0,0.0,0.0,0,0,0.0,2.236736154603203e-05,0,1,0
67918109917,91.46299635824836,VALID,,33.57129948535793,26.256879272321292,39.198940796415826,68.41522152435077,15.254237288135593,1.0,5.0,272.40094999999997,0.0,VALID,,True,1.0,300.05599699998857,2401.766269744495,1496.8635950576538,686.2235043540558,159.28584660700363,81.16095978998348,18.839040210016513,4.308126044915551,0.23211948526441087,0.01966236039737922,340.08344300207955,236.88650790853913,0.27893048567967926,0.0625,5.985947806298719,0.9590955499743172,0.8691831487655737,0.9724666205380127,0.9278963853256945,0.9999914330632845,0.0,0.0,272.001,1.0,0.0,0.9996715365021843,0.0,0.0,0.009174311926605505,0.0779816513761468,0.8658299622426268,0.9988357293868922,VALID,0.8067848573713676,VALID,VALID,0.0,0.0,0.0,0,0,0.0,2.114164904862579e-05,0,1,0
67938645920,83.33368055700232,VALID,,39.956842389576465,33.44313624324124,46.36929043729825,63.48517910102106,23.636363636363637,0.99902829596658,5.0,180.39984999999976,0.0,LIMITED,受限输出：频带一致性 81%；快慢节律分布算法差异较大 81%,True,1.0,300.25599999999395,2912.7542905479627,2043.6472807208088,646.0911022392343,158.00177447446748,80.35030789972733,19.649692100272663,4.08913826688472,0.24455030246796786,0.01823668943430752,341.05703617966384,216.274556771407,0.26683600185329004,0.0625,5.093870098913892,0.909477385366244,0.8857963107799555,0.950690334165806,0.8133138381672663,0.9999958034869862,0.0,0.0,272.0012,1.0,0.0,0.9996458342722078,0.0,0.0,0.0069124423963133645,0.07834101382488479,0.855787384482582,0.9661065069697254,VALID,0.8081084691423992,VALID,LIMITED,0.05,0.03333333333333333,0.016666666666666666,3,1,0.03333333333333333,8.016192709272732e-05,1,3,8
67958869916,79.7872340425532,LIMITED,受限输出：心搏峰附近削底/饱和 3.3%,58.50195199133623,32.63791711211747,86.78546991660428,74.28947738458373,20.33898305084746,0.99902829596658,5.0,8.004,0.0,LIMITED,受限输出：频带一致性 85%,True,1.0,300.4159959999961,3294.485809886042,2435.62447357143,618.6011301530795,178.13501103330836,77.6419065453646,22.358093454635387,3.4726532789077105,0.2879642508723302,0.01762034172378084,317.49192901235307,205.50984937538627,0.2550587571990976,0.078125,4.059334656509378,0.9072429570062094,0.8972964268148808,0.9327237303223127,0.8477878192686351,0.9999963315941559,0.0,0.0,269.6009999999999,1.0,0.0,0.9996466484462945,0.0,0.0,0.011494252873563218,0.06206896551724138,0.944133727410126,0.9981475283360322,VALID,0.9202879232204746,VALID,LIMITED,0.0,0.0,0.0,0,0,0.0,7.619773311743975e-05,1,3,8
67979597917,88.23529411764706,LIMITED,受限输出：心搏峰附近削底/饱和 3.3%,28.021028027753424,22.550547405285997,33.3152108156834,60.834754327230144,7.142857142857142,1.0,5.0,272.4038,0.0,LIMITED,受限输出：频带一致性 87%,True,1.0,300.1839970000001,3480.7946518596036,2583.799692935809,639.4669600456825,205.15071706177392,75.71081891580235,24.289181084197654,3.117059346437135,0.32081519434110917,0.017475589567504148,288.91696145113985,234.5943533720777,0.2744097257107036,0.078125,4.505092950508858,0.919229562329446,0.8659248687650826,0.941481229208223,0.8673090062789667,0.9999963040866915,0.0,0.0,278.001,1.0,0.0,0.9996458342722078,0.0,0.0,0.01152073732718894,0.06221198156682028,0.9855405576274472,0.9981921965212972,VALID,0.9800719808051186,VALID,LIMITED,0.03333333333333333,0.016666666666666666,0.0,2,0,0.03333333333333333,7.262427829623443e-05,1,3,8
67999725920,96.15384615384616,VALID,,25.72415230971803,20.825070081817657,31.214434593982382,51.02727993702611,5.357142857142857,1.0,5.0,272.80395,0.0,VALID,,True,1.0,300.61599999999453,3437.542321004375,2427.1349464021737,742.4670940760813,222.67827705562698,76.92800652460062,23.071993475399395,3.3342592007329324,0.299916695072831,0.018400500006376767,286.69476309197375,300.7391108827053,0.3085158351530774,0.046875,5.218222755353882,0.9395529230077615,0.771324124590001,0.9509877192164737,0.9128717318540998,0.999995648207065,0.0,0.0,278.001,1.0,0.0,0.9996466484462946,0.0,0.0,0.011494252873563218,0.06436781609195402,0.9747531872095443,0.9982329680238609,VALID,0.9644666666666667,VALID,VALID,0.03333333333333333,0.016666666666666666,0.0,2,0,0.03333333333333333,6.93625580911424e-05,1,3,8
68019797920,76.53061224489795,VALID,,38.65449015126891,25.456080662090777,49.59748528830691,75.24955562833514,12.727272727272727,0.9999650119503836,5.0,21.203999999999247,0.0,VALID,,True,1.0,300.4400040000037,3336.662024205985,2104.0009771908963,938.0831078504133,231.98746740303025,80.17320729967244,19.82679270032754,4.043680110618596,0.24729948280874808,0.023900307843912057,320.9414983721586,369.97920048734784,0.31422478786402985,0.046875,4.310786932888491,0.9614827228258188,0.8014205265455344,0.953513403792854,0.9800778005694036,0.9999928222835225,0.0,0.0,280.0,1.0,0.0,0.9996418225084165,0.0,0.0,0.011494252873563218,0.06666666666666667,0.9555793736927299,0.9982692420164159,VALID,0.9367501999466809,VALID,VALID,0.05,0.03333333333333333,0.0,2,0,0.05,6.646063868673779e-05,1,3,8
