t_us,latest_data_t_us,baseline_version,baseline_ready,quality_multiplier,primary_code,primary_score,temporal_model_version,score_INWARD_QUIET,evidence_score_INWARD_QUIET,raw_score_INWARD_QUIET,temporal_ready_INWARD_QUIET,coverage_INWARD_QUIET,persistence_INWARD_QUIET,stability_INWARD_QUIET,observed_span_minutes_INWARD_QUIET,score_RESONANCE_0P1,evidence_score_RESONANCE_0P1,raw_score_RESONANCE_0P1,temporal_ready_RESONANCE_0P1,coverage_RESONANCE_0P1,persistence_RESONANCE_0P1,stability_RESONANCE_0P1,observed_span_minutes_RESONANCE_0P1,score_PHASED_VIPASSANA,evidence_score_PHASED_VIPASSANA,raw_score_PHASED_VIPASSANA,temporal_ready_PHASED_VIPASSANA,coverage_PHASED_VIPASSANA,persistence_PHASED_VIPASSANA,stability_PHASED_VIPASSANA,observed_span_minutes_PHASED_VIPASSANA,score_TRAINED_VIPASSANA_SHIFT,evidence_score_TRAINED_VIPASSANA_SHIFT,raw_score_TRAINED_VIPASSANA_SHIFT,temporal_ready_TRAINED_VIPASSANA_SHIFT,coverage_TRAINED_VIPASSANA_SHIFT,persistence_TRAINED_VIPASSANA_SHIFT,stability_TRAINED_VIPASSANA_SHIFT,observed_span_minutes_TRAINED_VIPASSANA_SHIFT,score_AROUSAL_MEDITATION,evidence_score_AROUSAL_MEDITATION,raw_score_AROUSAL_MEDITATION,temporal_ready_AROUSAL_MEDITATION,coverage_AROUSAL_MEDITATION,persistence_AROUSAL_MEDITATION,stability_AROUSAL_MEDITATION,observed_span_minutes_AROUSAL_MEDITATION,score_SLOW_RECOVERY_VLF,evidence_score_SLOW_RECOVERY_VLF,raw_score_SLOW_RECOVERY_VLF,temporal_ready_SLOW_RECOVERY_VLF,coverage_SLOW_RECOVERY_VLF,persistence_SLOW_RECOVERY_VLF,stability_SLOW_RECOVERY_VLF,observed_span_minutes_SLOW_RECOVERY_VLF,elapsed_minutes
68243349920,68243349920,67857493920,False,0.68,STABLE_NEUTRAL,0.06099329576451982,v0.4.3,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.06099329576451982,0.33647900457576824,0.3279256618027475,1,0.8491518066674185,0.4100228300896047,0.7898576818735848,4.7413334,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.0
68304717916,68304717916,67857493920,False,0.68,STABLE_NEUTRAL,0.1144627607427369,v0.4.3,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.1144627607427369,0.3500265719932903,0.3779068244281912,1,0.8502003047205715,0.3613747218259311,0.826290098092668,4.748666600000001,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,1.0227999333333333
68366381917,68366381917,68161861918,False,0.68,STABLE_NEUTRAL,0.15929217247423555,v0.4.3,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.15929217247423555,0.3557432622629845,0.3886950622748762,1,0.8520853694373265,0.3628407710217469,0.8236023412336724,4.76359995,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,2.0505332833333334
68427253920,68427253920,68161861918,False,0.68,STABLE_NEUTRAL,0.20119388127304558,v0.4.3,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.20119388127304558,0.3874583468773741,0.42837804286279624,1,0.8867596484435769,0.3929952417661483,0.8827408309961463,4.757066699999999,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,3.0650666666666666
68487525920,68487525920,68161861918,False,1.0,STABLE_NEUTRAL,0.22799811840803955,v0.4.3,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.22799811840803955,0.34846082555244123,0.3272321664273959,1,0.8847075029247772,0.46869208352733677,0.6745745161528779,4.40333335,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,4.0696
68548805920,68548805920,68161861918,False,0.68,STABLE_NEUTRAL,0.271790479886951,v0.4.3,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.271790479886951,0.46502741719727686,0.5233212798319193,1,0.9517458537833974,0.5481380435648971,0.5563125152215878,4.755333333333334,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,5.090933333333333
68609669920,68609669920,68161861918,False,1.0,STABLE_NEUTRAL,0.3020249174281351,v0.4.3,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.3020249174281351,0.43644472217541286,0.42578444010891375,1,0.9503498830049834,0.6115940660465793,0.6157204146465046,4.742266666666667,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,6.105333333333333
68670709920,68670709920,68467413917,False,0.68,STABLE_NEUTRAL,0.3174373034391212,v0.4.3,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.3174373034391212,0.38574120415417623,0.33509925941618834,1,0.9490849697165578,0.5983117491042782,0.5850205178106529,4.732266666666666,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,7.1226666666666665
68731709920,68731709920,68467413917,False,0.68,STABLE_NEUTRAL,0.34663220670273204,v0.4.3,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.34663220670273204,0.4761105974039013,0.47309863652947065,1,0.950202916706428,0.6583860088752436,0.6695199257510944,4.740800050000001,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,8.139333333333333
68792829920,68792829920,68467413917,False,0.68,STABLE_NEUTRAL,0.35622817489543385,v0.4.3,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.35622817489543385,0.3986936256391504,0.3442513768864965,1,0.9513855284873839,0.6046538313350843,0.7377332405717545,4.751733333333333,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,9.158
68854189918,68854189918,68467413917,False,0.68,STABLE_NEUTRAL,0.3689912118729823,v0.4.3,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.3689912118729823,0.4252278502530167,0.3745719460813671,1,0.9514196756149004,0.65147541819263,0.49812911482762656,4.751199966666666,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,10.180666633333333
68915109919,68915109919,68467413917,False,0.68,STABLE_NEUTRAL,0.42547914718036917,v0.4.3,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.42547914718036917,0.6763647567617267,0.8403476058058255,1,0.9518659302366901,0.7273607490402355,0.2792406428503905,4.756533316666666,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,11.195999983333333
68976213920,68976213920,68772349920,True,0.68,STABLE_NEUTRAL,0.4847582171507917,v0.4.3,0.060130036983091294,0.3916799934095601,0.4431601939237889,1,0.9757445826729434,0.4750371471353564,0.3056401837452042,7.808133333333333,0.4847582171507917,0.7471643558208119,0.859845634759938,1,0.9518316872187904,0.8562628287007724,0.4452191024354343,4.757066666666666,0.007319090639358358,0.07691143397227343,0.0888023091058019,1,0.7572229738257203,0.12686044157971701,0.7768888888888889,18.645333333333333,0.03038859117978386,0.2282760798000955,0.15505711958923696,1,0.9829334141226214,0.4231036412944069,0.0,9.824000000000002,0.03375389755474749,0.21986892134305794,0.2197505971219458,1,0.9757445826729434,0.30132188446800967,0.040000000000000036,7.808133333333333,0.03213987144286384,0.40197156075916834,0.5095766278867921,1,0.9074048348118312,0.35703923733342713,0.5650627782100733,18.645333333333333,12.2144
69037565917,69037565917,68772349920,True,0.68,STABLE_NEUTRAL,0.5204964718934834,v0.4.3,0.12028260093249535,0.4440221746240102,0.551838101786646,1,0.9757949189945088,0.4750371471353566,0.30564018374520385,7.807466616666667,0.5204964718934834,0.6779894831548331,0.7420066798405673,1,0.9525327569282593,0.8352921131600539,0.4058223368084676,4.763199999999999,0.017028232439716767,0.10720822105938062,0.12192224081714922,1,0.7994945329034178,0.17417462973878461,0.8194944423611111,19.667866616666668,0.08532127623593729,0.4345784330435109,0.5435814957639378,1,0.9837470464937212,0.4802071971116535,0.0,9.8384,0.06337951741885275,0.2228238522142831,0.22620738050529776,1,0.9757949189945088,0.3013218844680098,0.040000000000000036,7.807466616666667,0.05875494106097743,0.35797910323873827,0.4342649592874708,1,0.9580599563945942,0.3599457580110018,0.3275611807032748,19.667866616666668,13.236933283333334
