metric,count,mean,median,std,p25,p75,min,max
total_power_ms2,81,5874.472632661078,5222.337511432574,2345.461524754367,4453.913143493593,6432.065315916174,2876.3347589122723,13755.461498158571
vlf_ms2,81,3204.7842342676918,2485.2417992850305,2209.8750507030086,1757.0726156148974,3686.864730122407,714.319156380123,11257.89636185696
lf_ms2,81,2170.663747810328,2080.714849843791,737.8923319623697,1620.7909241387556,2662.0237466456156,843.6691255108059,4235.2553782104
hf_ms2,81,396.13941811151733,341.6038935521885,171.62425563120516,276.59325464584407,473.12781384276224,175.79721742862847,871.9626031005713
lf_nu,81,84.28340707397325,84.99457135440603,5.167078731239257,81.77977182714461,88.60416733028048,70.5978739735865,91.61991432867991
hf_nu,81,15.716592926026761,15.005428645593963,5.1670787312392585,11.39583266971952,18.220228172855375,8.380085671320098,29.402126026413494
lf_hf,81,6.028802499016667,5.6642548081665725,2.190586957439632,4.488405471726238,7.77513762252015,2.4011145966167438,10.933052229076699
hf_lf,81,0.19115645877446638,0.17654572999756762,0.07758356129901979,0.12861508677397154,0.222796270590812,0.09146576628807072,0.41647325013518127
median_frequency_hz,81,0.039392431716484176,0.04088299825261949,0.019129935389635245,0.023184969645906356,0.054755350668825885,0.007538391866666128,0.07862811258211334
spectral_agreement,81,0.90928703186391,0.9299687774414391,0.06723561413277866,0.866717408166886,0.9598942143661073,0.6956228625024528,0.9922120168467012
spectral_agreement_raw,81,0.8309925113806994,0.849653814741289,0.09879003436875938,0.7613867278068486,0.9091603114067581,0.5842575803807798,0.9734375024098908
spectral_shape_agreement,81,0.9202145863458993,0.9385509718551294,0.07061124455361126,0.8893312499257948,0.9747170766213725,0.695425230101542,0.9941041514589714
band_power_agreement,81,0.883789404739269,0.8975950682956549,0.07750910097873909,0.8582781361137285,0.9387459704877907,0.6817681610207098,0.9923448655100597
interpolation_agreement,81,0.9999368773200203,0.9999492741345275,4.6328509446524355e-05,0.9998996877621409,0.9999728132998489,0.9998088081462432,0.999999702056588
