t_us,firmware_t_us,waveform_t_us,final_t_us,timing_shift_ms,no_firmware_match,inserted_by_smoother,timing_recovered,low_prominence_rescue,waveform_score,peak_prominence,peak_polarity,expected_rr_ms,match_distance_ms,recovery_reason,template_version
490993043,490990043,490993043,490993043,3.000000,0,0,0,0,1.000000,338.555556,1,743.096000,3.000000,,v0.4.0-fixed-lag
491685247,491678043,491685247,491685247,7.204000,0,0,0,0,1.000000,333.555556,1,752.531520,7.204000,,v0.4.0-fixed-lag
492417347,492414043,492417347,492417347,3.304000,0,0,0,0,1.000000,354.222222,1,752.531520,3.304000,,v0.4.0-fixed-lag
493175757,493174043,493175757,493175757,1.714000,0,0,0,0,1.000000,340.000000,1,757.971520,1.714000,,v0.4.0-fixed-lag
493938844,493934043,493938844,493938844,4.801000,0,0,0,0,1.000000,330.888889,1,760.367040,4.801000,,v0.4.0-fixed-lag
494741092,494734045,494741092,494741092,7.047000,0,0,0,0,1.000000,367.777778,1,761.285760,7.047000,,v0.4.0-fixed-lag
495584900,495582043,495584900,495584900,2.857000,0,0,0,0,1.000000,369.555556,1,770.371200,2.857000,,v0.4.0-fixed-lag
496449000,496446043,496449000,496449000,2.957000,0,0,0,0,1.000000,353.444444,1,775.883520,2.957000,,v0.4.0-fixed-lag
497288588,497286043,497288588,497288588,2.545000,0,0,0,0,1.000000,347.555556,1,782.655680,2.545000,,v0.4.0-fixed-lag
498117872,498118046,498117872,498117872,-0.174000,0,0,0,0,1.000000,355.000000,1,782.747840,0.174000,,v0.4.0-fixed-lag
498910770,498910043,498910770,498910770,0.727000,0,0,0,0,1.000000,355.333333,1,800.719360,0.727000,,v0.4.0-fixed-lag
499734771,499734044,499734771,499734771,0.727000,0,0,0,0,1.000000,363.333333,1,800.719360,0.727000,,v0.4.0-fixed-lag
500521349,500518045,500521349,500521349,3.304000,0,0,0,0,1.000000,343.222222,1,802.240320,3.304000,,v0.4.0-fixed-lag
501327498,501326043,501327498,501327498,1.455000,0,0,0,0,1.000000,369.000000,1,802.240320,1.455000,,v0.4.0-fixed-lag
502144123,502142043,502144123,502144123,2.080000,0,0,0,0,1.000000,354.888889,1,802.240320,2.080000,,v0.4.0-fixed-lag
502998770,502998043,502998770,502998770,0.727000,0,0,0,0,1.000000,355.333333,1,807.680320,0.727000,,v0.4.0-fixed-lag
503840304,503838043,503840304,503840304,2.261000,0,0,0,0,1.000000,341.222222,1,807.680320,2.261000,,v0.4.0-fixed-lag
504666805,0,504666805,504666805,0.000000,1,1,1,0,1.000000,326.222222,1,807.680320,0.000000,waveform_inserted+timing_recovered,v0.4.0-fixed-lag
505463864,0,505463864,505463864,0.000000,1,1,1,0,1.000000,323.000000,1,807.680320,0.000000,waveform_inserted+timing_recovered,v0.4.0-fixed-lag
506184225,506182043,506184225,506184225,2.182000,0,0,0,0,1.000000,308.888889,1,799.880000,2.182000,,v0.4.0-fixed-lag
506874043,506870043,506874043,506874043,4.000000,0,0,0,0,1.000000,327.888889,1,794.440000,4.000000,,v0.4.0-fixed-lag
507549646,507550046,507549646,507549646,-0.400000,0,0,0,0,1.000000,317.333333,1,785.647680,0.400000,,v0.4.0-fixed-lag
508249662,508246043,508249662,508249662,3.619000,0,0,0,0,1.000000,328.444444,1,785.647680,3.619000,,v0.4.0-fixed-lag
508985348,508982044,508985348,508985348,3.304000,0,0,0,0,1.000000,330.222222,1,782.738880,3.304000,,v0.4.0-fixed-lag
509743045,509742045,509743045,509743045,1.000000,0,0,0,0,1.000000,331.888889,1,757.659520,1.000000,,v0.4.0-fixed-lag
510514043,510510043,510514043,510514043,4.000000,0,0,0,0,1.000000,324.333333,1,757.659520,4.000000,,v0.4.0-fixed-lag
511284044,511286044,511284044,511284044,-2.000000,0,0,0,0,1.000000,332.111111,1,757.659520,2.000000,,v0.4.0-fixed-lag
512029834,512022043,512029834,512029834,7.791000,0,0,0,0,1.000000,318.666667,1,757.659520,7.791000,,v0.4.0-fixed-lag
512735757,0,512735757,512735757,0.000000,1,1,1,0,1.000000,310.000000,1,752.219520,0.000000,waveform_inserted+timing_recovered,v0.4.0-fixed-lag
513407757,513406043,513407757,513407757,1.714000,0,0,0,0,1.000000,305.000000,1,746.779520,1.714000,,v0.4.0-fixed-lag
514122806,514118045,514122806,514122806,4.761000,0,0,0,0,1.000000,339.222222,1,746.779520,4.761000,,v0.4.0-fixed-lag
514842464,514838044,514842464,514842464,4.420000,0,0,0,0,1.000000,328.444444,1,741.339520,4.420000,,v0.4.0-fixed-lag
515597376,515598043,515597376,515597376,-0.667000,0,0,0,0,1.000000,339.888889,1,741.339520,0.667000,,v0.4.0-fixed-lag
516383861,516382043,516383861,516383861,1.818000,0,0,0,0,1.000000,335.000000,1,744.572800,1.818000,,v0.4.0-fixed-lag
517178806,517174043,517178806,517178806,4.763000,0,0,0,0,1.000000,335.222222,1,744.572800,4.763000,,v0.4.0-fixed-lag
517985712,517982045,517985712,517985712,3.667000,0,0,0,0,1.000000,329.666667,1,750.012800,3.667000,,v0.4.0-fixed-lag
518748225,518750043,518748225,518748225,-1.818000,0,0,0,0,1.000000,308.000000,1,755.452800,1.818000,,v0.4.0-fixed-lag
519425662,519422043,519425662,519425662,3.619000,0,0,0,0,1.000000,298.222222,1,758.371840,3.619000,,v0.4.0-fixed-lag
520106043,520102043,520106043,520106043,4.000000,0,0,0,0,1.000000,348.888889,1,763.811840,4.000000,,v0.4.0-fixed-lag
520787501,520782043,520787501,520787501,5.458000,0,0,0,0,1.000000,335.333333,1,763.811840,5.458000,,v0.4.0-fixed-lag
521506043,0,521506043,521506043,0.000000,1,1,1,0,1.000000,354.333333,1,763.811840,0.000000,waveform_inserted+timing_recovered,v0.4.0-fixed-lag
522287959,522294043,522287959,522287959,-6.084000,0,0,0,0,1.000000,361.555556,1,763.811840,6.084000,,v0.4.0-fixed-lag
523098741,523102045,523098741,523098741,-3.304000,0,0,0,0,1.000000,348.666667,1,771.684160,3.304000,,v0.4.0-fixed-lag
523954424,523950043,523954424,523954424,4.381000,0,0,0,0,1.000000,351.333333,1,777.124160,4.381000,,v0.4.0-fixed-lag
524821091,524822043,524821091,524821091,-0.952000,0,0,0,0,1.000000,344.111111,1,782.564160,0.952000,,v0.4.0-fixed-lag
525653091,525654043,525653091,525653091,-0.952000,0,0,0,0,1.000000,328.333333,1,788.004160,0.952000,,v0.4.0-fixed-lag
526436953,526438044,526436953,526436953,-1.091000,0,0,0,0,1.000000,338.888889,1,799.653120,1.091000,,v0.4.0-fixed-lag
527215862,527214044,527215862,527215862,1.818000,0,0,0,0,1.000000,323.000000,1,800.275840,1.818000,,v0.4.0-fixed-lag
527983861,527982043,527983861,527983861,1.818000,0,0,0,0,1.000000,336.000000,1,805.715840,1.818000,,v0.4.0-fixed-lag
528782444,528782044,528782444,528782444,0.400000,0,0,0,0,1.000000,342.444444,1,811.155840,0.400000,,v0.4.0-fixed-lag
529604330,529606044,529604330,529604330,-1.714000,0,0,0,0,1.000000,351.000000,1,815.866560,1.714000,,v0.4.0-fixed-lag
530444329,530446043,530444329,530444329,-1.714000,0,0,0,0,1.000000,371.222222,1,819.770240,1.714000,,v0.4.0-fixed-lag
531318843,531318043,531318843,531318843,0.800000,0,0,0,0,1.000000,370.555556,1,823.323520,0.800000,,v0.4.0-fixed-lag
532215863,532214045,532215863,532215863,1.818000,0,0,0,0,1.000000,372.222222,1,828.763520,1.818000,,v0.4.0-fixed-lag
533085854,533086044,533085854,533085854,-0.190000,0,0,0,0,1.000000,355.222222,1,823.323520,0.190000,,v0.4.0-fixed-lag
533957472,533958043,533957472,533957472,-0.571000,0,0,0,0,1.000000,354.333333,1,823.323520,0.571000,,v0.4.0-fixed-lag
534818043,534814043,534818043,534818043,4.000000,0,0,0,0,1.000000,347.888889,1,829.119680,4.000000,,v0.4.0-fixed-lag
535678410,535678046,535678410,535678410,0.364000,0,0,0,0,1.000000,344.222222,1,830.262720,0.364000,,v0.4.0-fixed-lag
536508589,0,536508589,536508589,0.000000,1,1,1,0,1.000000,328.000000,1,830.262720,0.000000,waveform_inserted+timing_recovered,v0.4.0-fixed-lag
537298443,537294043,537298443,537298443,4.400000,0,0,0,0,1.000000,340.444444,1,824.822720,4.400000,,v0.4.0-fixed-lag
538120359,537862046,538120359,538120359,258.313000,0,0,1,0,1.000000,255.444444,1,830.262720,258.313000,timing_recovered,v0.4.0-fixed-lag
538930805,0,538930805,538930805,0.000000,1,1,1,0,1.000000,383.444444,1,824.822720,0.000000,waveform_inserted+timing_recovered,v0.4.0-fixed-lag
539666466,539382043,539666466,539666466,284.423000,0,0,1,0,1.000000,328.666667,1,824.757440,284.423000,timing_recovered,v0.4.0-fixed-lag
540362043,540358043,540362043,540362043,4.000000,0,0,0,0,1.000000,338.555556,1,815.097280,4.000000,,v0.4.0-fixed-lag
541054995,541054043,541054995,541054995,0.952000,0,0,0,0,1.000000,338.555556,1,807.013120,0.952000,,v0.4.0-fixed-lag
541791498,541790043,541791498,541791498,1.455000,0,0,0,0,1.000000,354.222222,1,797.902720,1.455000,,v0.4.0-fixed-lag
542552376,542550043,542552376,542552376,2.333000,0,0,0,0,1.000000,366.111111,1,791.313280,2.333000,,v0.4.0-fixed-lag
543330806,543326043,543330806,543330806,4.763000,0,0,0,0,1.000000,358.444444,1,782.040960,4.763000,,v0.4.0-fixed-lag
544120304,544118043,544120304,544120304,2.261000,0,0,0,0,1.000000,352.111111,1,782.040960,2.261000,,v0.4.0-fixed-lag
544933173,544934043,544933173,544933173,-0.870000,0,0,0,0,1.000000,358.444444,1,776.600960,0.870000,,v0.4.0-fixed-lag
545693680,545694044,545693680,545693680,-0.364000,0,0,0,0,1.000000,334.222222,1,776.600960,0.364000,,v0.4.0-fixed-lag
546393317,546390044,546393317,546393317,3.273000,0,0,0,0,1.000000,328.444444,1,771.042240,3.273000,,v0.4.0-fixed-lag
547109472,547110043,547109472,547109472,-0.571000,0,0,0,0,1.000000,347.555556,1,771.042240,0.571000,,v0.4.0-fixed-lag
547825710,547822043,547825710,547825710,3.667000,0,0,0,0,1.000000,358.888889,1,765.602240,3.667000,,v0.4.0-fixed-lag
548558916,548558046,548558916,548558916,0.870000,0,0,0,0,1.000000,356.000000,1,765.602240,0.870000,,v0.4.0-fixed-lag
549354045,549358045,549354045,549354045,-4.000000,0,0,0,0,1.000000,372.333333,1,760.162240,4.000000,,v0.4.0-fixed-lag
550172130,550174043,550172130,550172130,-1.913000,0,0,0,0,1.000000,384.111111,1,760.162240,1.913000,,v0.4.0-fixed-lag
550998710,550998043,550998710,550998710,0.667000,0,0,0,0,1.000000,366.888889,1,765.602240,0.667000,,v0.4.0-fixed-lag
551822920,551822050,551822920,551822920,0.870000,0,0,0,0,1.000000,359.111111,1,765.602240,0.870000,,v0.4.0-fixed-lag
552623710,552622043,552623710,552623710,1.667000,0,0,0,0,1.000000,352.222222,1,771.042240,1.667000,,v0.4.0-fixed-lag
553404588,553398043,553404588,553404588,6.545000,0,0,0,0,1.000000,344.666667,1,782.121280,6.545000,,v0.4.0-fixed-lag
554139710,554142043,554139710,554139710,-2.333000,0,0,0,0,1.000000,335.888889,1,782.121280,2.333000,,v0.4.0-fixed-lag
554831043,0,554831043,554831043,0.000000,1,1,1,0,1.000000,346.111111,1,787.561280,0.000000,waveform_inserted+timing_recovered,v0.4.0-fixed-lag
555556481,555254045,555556481,555556481,302.436000,0,0,1,0,1.000000,378.222222,1,787.561280,302.436000,timing_recovered,v0.4.0-fixed-lag
556311612,556310047,556311612,556311612,1.565000,0,0,0,0,1.000000,373.777778,1,782.121280,1.565000,,v0.4.0-fixed-lag
557096043,557094043,557096043,557096043,2.000000,0,0,0,0,1.000000,378.666667,1,783.000960,2.000000,,v0.4.0-fixed-lag
557920900,557918043,557920900,557920900,2.857000,0,0,0,0,1.000000,368.111111,1,783.000960,2.857000,,v0.4.0-fixed-lag
558739863,558734043,558739863,558739863,5.820000,0,0,0,0,1.000000,353.000000,1,783.000960,5.820000,,v0.4.0-fixed-lag
559537043,559534043,559537043,559537043,3.000000,0,0,0,0,1.000000,358.000000,1,783.000960,3.000000,,v0.4.0-fixed-lag
560346043,0,560346043,560346043,0.000000,1,1,1,0,1.000000,359.000000,1,783.000960,0.000000,waveform_inserted+timing_recovered,v0.4.0-fixed-lag
561116591,560774043,561116591,561116591,342.548000,0,0,1,0,1.000000,351.111111,1,778.697920,342.548000,timing_recovered,v0.4.0-fixed-lag
561922407,561918043,561922407,561922407,4.364000,0,0,0,0,1.000000,384.444444,1,778.697920,4.364000,,v0.4.0-fixed-lag
562715498,0,562715498,562715498,0.000000,1,1,1,0,1.000000,373.444444,1,777.337600,0.000000,waveform_inserted+timing_recovered,v0.4.0-fixed-lag
563494913,563494043,563494913,563494913,0.870000,0,0,0,0,1.000000,365.222222,1,777.337600,0.870000,,v0.4.0-fixed-lag
564280953,564278044,564280953,564280953,2.909000,0,0,0,0,1.000000,366.444444,1,771.897600,2.909000,,v0.4.0-fixed-lag
565048123,565046043,565048123,565048123,2.080000,0,0,0,0,1.000000,349.000000,1,777.337600,2.080000,,v0.4.0-fixed-lag
565772591,565774046,565772591,565772591,-1.455000,0,0,0,0,1.000000,338.111111,1,776.029120,1.455000,,v0.4.0-fixed-lag
566473084,566470044,566473084,566473084,3.040000,0,0,0,0,1.000000,366.666667,1,779.212800,3.040000,,v0.4.0-fixed-lag
567184952,567182043,567184952,567184952,2.909000,0,0,0,0,1.000000,357.444444,1,777.092800,2.909000,,v0.4.0-fixed-lag
567904305,567902044,567904305,567904305,2.261000,0,0,0,0,1.000000,356.000000,1,774.255360,2.261000,,v0.4.0-fixed-lag
568615262,568614045,568615262,568615262,1.217000,0,0,0,0,1.000000,331.000000,1,778.614400,1.217000,,v0.4.0-fixed-lag
569318710,569318043,569318710,569318710,0.667000,0,0,0,0,1.000000,361.222222,1,759.509760,0.667000,,v0.4.0-fixed-lag
570049406,570046046,570049406,570049406,3.360000,0,0,0,0,1.000000,370.777778,1,757.872960,3.360000,,v0.4.0-fixed-lag
570809347,570814045,570809347,570809347,-4.698000,0,0,0,0,1.000000,391.222222,1,757.872960,4.698000,,v0.4.0-fixed-lag
571616652,571622043,571616652,571616652,-5.391000,0,0,0,0,1.000000,408.333333,1,752.432960,5.391000,,v0.4.0-fixed-lag
572432376,572430043,572432376,572432376,2.333000,0,0,0,0,1.000000,386.888889,1,752.432960,2.333000,,v0.4.0-fixed-lag
573220376,573222043,573220376,573220376,-1.667000,0,0,0,0,1.000000,371.555556,1,752.432960,1.667000,,v0.4.0-fixed-lag
574037091,574030043,574037091,574037091,7.048000,0,0,0,0,1.000000,398.555556,1,750.622720,7.048000,,v0.4.0-fixed-lag
574855261,574854044,574855261,574855261,1.217000,0,0,0,0,1.000000,399.000000,1,759.981120,1.217000,,v0.4.0-fixed-lag
575661473,575662044,575661473,575661473,-0.571000,0,0,0,0,1.000000,355.111111,1,763.520000,0.571000,,v0.4.0-fixed-lag
576449044,576446044,576449044,576449044,3.000000,0,0,0,0,1.000000,349.777778,1,769.347840,3.000000,,v0.4.0-fixed-lag
577219086,577214044,577219086,577219086,5.042000,0,0,0,0,1.000000,347.444444,1,769.347840,5.042000,,v0.4.0-fixed-lag
577943862,0,577943862,577943862,0.000000,1,1,1,0,1.000000,324.222222,1,769.347840,0.000000,waveform_inserted+timing_recovered,v0.4.0-fixed-lag
578644590,578374046,578644590,578644590,270.544000,0,0,1,0,1.000000,343.222222,1,774.787840,270.544000,timing_recovered,v0.4.0-fixed-lag
579366565,579366043,579366565,579366565,0.522000,0,0,0,0,1.000000,335.333333,1,768.960000,0.522000,,v0.4.0-fixed-lag
580099086,580094046,580099086,580099086,5.040000,0,0,0,0,1.000000,350.444444,1,768.822720,5.040000,,v0.4.0-fixed-lag
580812588,580814043,580812588,580812588,-1.455000,0,0,0,0,1.000000,333.222222,1,763.213440,1.455000,,v0.4.0-fixed-lag
581522044,581518044,581522044,581522044,4.000000,0,0,0,0,1.000000,344.111111,1,751.206720,4.000000,,v0.4.0-fixed-lag
582225710,582222043,582225710,582225710,3.667000,0,0,0,0,1.000000,317.888889,1,748.728320,3.667000,,v0.4.0-fixed-lag
582862843,582862043,582862843,582862843,0.800000,0,0,0,0,1.000000,307.555556,1,747.832000,0.800000,,v0.4.0-fixed-lag
583611326,583614046,583611326,583611326,-2.720000,0,0,0,0,1.000000,380.777778,1,745.120640,2.720000,,v0.4.0-fixed-lag
584359045,584358045,584359045,584359045,1.000000,0,0,0,0,1.000000,356.111111,1,739.680640,1.000000,,v0.4.0-fixed-lag
585128522,585134043,585128522,585128522,-5.521000,0,0,0,0,1.000000,354.555556,1,745.120640,5.521000,,v0.4.0-fixed-lag
585898047,0,585898047,585898047,0.000000,1,1,1,0,1.000000,349.888889,1,747.832000,0.000000,waveform_inserted+timing_recovered,v0.4.0-fixed-lag
586653173,0,586653173,586653173,0.000000,1,1,1,0,1.000000,330.000000,1,751.206720,0.000000,waveform_inserted+timing_recovered,v0.4.0-fixed-lag
587367260,587366043,587367260,587367260,1.217000,0,0,0,0,1.000000,338.666667,1,761.510080,1.217000,,v0.4.0-fixed-lag
588103483,587790043,588103483,588103483,313.440000,0,0,1,0,1.000000,342.000000,1,761.510080,313.440000,timing_recovered,v0.4.0-fixed-lag
588845885,588846045,588845885,588845885,-0.160000,0,0,0,0,1.000000,330.000000,1,766.950080,0.160000,,v0.4.0-fixed-lag
589597472,589598043,589597472,589597472,-0.571000,0,0,0,0,1.000000,341.555556,1,772.390080,0.571000,,v0.4.0-fixed-lag
590376226,590374044,590376226,590376226,2.182000,0,0,0,0,1.000000,366.777778,1,778.074560,2.182000,,v0.4.0-fixed-lag
591165175,591166045,591165175,591165175,-0.870000,0,0,0,0,1.000000,367.111111,1,784.507840,0.870000,,v0.4.0-fixed-lag
591976124,591974044,591976124,591976124,2.080000,0,0,0,0,1.000000,401.111111,1,791.080320,2.080000,,v0.4.0-fixed-lag
592812478,592806044,592812478,592812478,6.434000,0,0,0,0,1.000000,409.333333,1,796.520320,6.434000,,v0.4.0-fixed-lag
593634391,593630043,593634391,593634391,4.348000,0,0,0,0,1.000000,407.000000,1,796.520320,4.348000,,v0.4.0-fixed-lag
594508588,594510043,594508588,594508588,-1.455000,0,0,0,0,1.000000,444.111111,1,804.081280,1.455000,,v0.4.0-fixed-lag
595396225,595454043,595396225,595396225,-57.818000,0,0,0,0,1.000000,446.333333,1,807.343680,57.818000,,v0.4.0-fixed-lag
596296126,596294046,596296126,596296126,2.080000,0,0,0,0,1.000000,436.000000,1,819.823680,2.080000,,v0.4.0-fixed-lag
597167163,597166043,597167163,597167163,1.120000,0,0,0,0,1.000000,407.000000,1,823.332160,1.120000,,v0.4.0-fixed-lag
598012043,598014043,598012043,598012043,-2.000000,0,0,0,0,1.000000,411.000000,1,827.953280,2.000000,,v0.4.0-fixed-lag
598851710,598846043,598851710,598851710,5.667000,0,0,0,0,1.000000,413.222222,1,830.681600,5.667000,,v0.4.0-fixed-lag
599683434,599678046,599683434,599683434,5.388000,0,0,0,0,1.000000,407.444444,1,830.681600,5.388000,,v0.4.0-fixed-lag
600477244,600478044,600477244,600477244,-0.800000,0,0,0,0,1.000000,381.000000,1,830.681600,0.800000,,v0.4.0-fixed-lag
601265724,601262044,601265724,601265724,3.680000,0,0,0,0,1.000000,407.000000,1,830.681600,3.680000,,v0.4.0-fixed-lag
602062217,602062043,602062217,602062217,0.174000,0,0,0,0,1.000000,417.333333,1,836.121600,0.174000,,v0.4.0-fixed-lag
602875964,602870043,602875964,602875964,5.921000,0,0,0,0,1.000000,419.111111,1,834.453440,5.921000,,v0.4.0-fixed-lag
603714043,603710043,603714043,603714043,4.000000,0,0,0,0,1.000000,410.888889,1,831.911680,4.000000,,v0.4.0-fixed-lag
604537710,604534043,604537710,604537710,3.667000,0,0,0,0,1.000000,374.111111,1,831.911680,3.667000,,v0.4.0-fixed-lag
605298044,605294044,605298044,605298044,4.000000,0,0,0,0,1.000000,366.888889,1,829.333440,4.000000,,v0.4.0-fixed-lag
606074363,606070043,606074363,606074363,4.320000,0,0,0,0,1.000000,400.888889,1,826.159040,4.320000,,v0.4.0-fixed-lag
606870217,606870043,606870217,606870217,0.174000,0,0,0,0,1.000000,407.222222,1,820.637760,0.174000,,v0.4.0-fixed-lag
607695164,607694044,607695164,607695164,1.120000,0,0,0,0,1.000000,407.111111,1,814.993280,1.120000,,v0.4.0-fixed-lag
608560043,608558043,608560043,608560043,2.000000,0,0,0,0,1.000000,422.444444,1,809.757760,2.000000,,v0.4.0-fixed-lag
609405563,609406043,609405563,609405563,-0.480000,0,0,0,0,1.000000,408.000000,1,815.279040,0.480000,,v0.4.0-fixed-lag
610241747,610238043,610241747,610241747,3.704000,0,0,0,0,1.000000,383.666667,1,818.453440,3.704000,,v0.4.0-fixed-lag
611065735,611062043,611065735,611065735,3.692000,0,0,0,0,1.000000,403.666667,1,813.423040,3.692000,,v0.4.0-fixed-lag
611900130,611894044,611900130,611900130,6.086000,0,0,0,0,1.000000,400.666667,1,813.116160,6.086000,,v0.4.0-fixed-lag
612733379,612734046,612733379,612733379,-0.667000,0,0,0,0,1.000000,392.000000,1,818.863040,0.667000,,v0.4.0-fixed-lag
613556843,613550045,613556843,613556843,6.798000,0,0,0,0,1.000000,383.666667,1,821.519680,6.798000,,v0.4.0-fixed-lag
614357043,614358043,614357043,614357043,-1.000000,0,0,0,0,1.000000,364.888889,1,826.959680,1.000000,,v0.4.0-fixed-lag
615136123,615134043,615136123,615136123,2.080000,0,0,0,0,1.000000,361.888889,1,826.959680,2.080000,,v0.4.0-fixed-lag
615842805,615838045,615842805,615842805,4.760000,0,0,0,0,1.000000,328.222222,1,826.959680,4.760000,,v0.4.0-fixed-lag
616494218,616494044,616494218,616494218,0.174000,0,0,0,0,1.000000,320.222222,1,829.436160,0.174000,,v0.4.0-fixed-lag
617197735,617198043,617197735,617197735,-0.308000,0,0,0,0,1.000000,411.777778,1,834.708480,0.308000,,v0.4.0-fixed-lag
617945085,617942045,617945085,617945085,3.040000,0,0,0,0,1.000000,439.777778,1,827.264000,3.040000,,v0.4.0-fixed-lag
