t_us,score_t_us,latest_data_t_us,baseline_version,uses_future_data
503840304,503840304,828282576,746925046,1
523954424,523954424,828282576,746925046,1
544120304,544120304,828282576,746925046,1
564280953,564280953,828282576,746925046,1
584359045,584359045,828282576,746925046,1
604537710,604537710,828282576,746925046,1
625119245,625119245,828282576,746925046,1
645431581,645431581,828282576,746925046,1
665822658,665822658,828282576,746925046,1
686201757,686201757,828282576,746925046,1
706364932,706364932,828282576,746925046,1
726833293,726833293,828282576,746925046,1
746925046,746925046,828282576,746925046,1
766966843,766966843,828282576,746925046,1
786988043,786988043,828282576,746925046,1
807604900,807604900,828282576,746925046,1
828282576,828282576,828282576,746925046,0
483042043,483042043,848472495,746925046,1
503840304,503840304,848472495,746925046,1
523954424,523954424,848472495,746925046,1
544120304,544120304,848472495,746925046,1
564280953,564280953,848472495,746925046,1
584359045,584359045,848472495,746925046,1
604537710,604537710,848472495,746925046,1
625119245,625119245,848472495,746925046,1
645431581,645431581,848472495,746925046,1
665822658,665822658,848472495,746925046,1
686201757,686201757,848472495,746925046,1
706364932,706364932,848472495,746925046,1
726833293,726833293,848472495,746925046,1
746925046,746925046,848472495,746925046,1
766966843,766966843,848472495,746925046,1
786988043,786988043,848472495,746925046,1
807604900,807604900,848472495,746925046,1
828282576,828282576,848472495,746925046,1
848472495,848472495,848472495,746925046,0
483042043,483042043,869023836,746925046,1
503840304,503840304,869023836,746925046,1
523954424,523954424,869023836,746925046,1
544120304,544120304,869023836,746925046,1
564280953,564280953,869023836,746925046,1
584359045,584359045,869023836,746925046,1
604537710,604537710,869023836,746925046,1
625119245,625119245,869023836,746925046,1
645431581,645431581,869023836,746925046,1
665822658,665822658,869023836,746925046,1
686201757,686201757,869023836,746925046,1
706364932,706364932,869023836,746925046,1
726833293,726833293,869023836,746925046,1
746925046,746925046,869023836,746925046,1
766966843,766966843,869023836,746925046,1
786988043,786988043,869023836,746925046,1
807604900,807604900,869023836,746925046,1
828282576,828282576,869023836,746925046,1
848472495,848472495,869023836,746925046,1
869023836,869023836,869023836,746925046,0
483042043,483042043,889076043,746925046,1
503840304,503840304,889076043,746925046,1
523954424,523954424,889076043,746925046,1
544120304,544120304,889076043,746925046,1
564280953,564280953,889076043,746925046,1
584359045,584359045,889076043,746925046,1
604537710,604537710,889076043,746925046,1
625119245,625119245,889076043,746925046,1
645431581,645431581,889076043,746925046,1
665822658,665822658,889076043,746925046,1
686201757,686201757,889076043,746925046,1
706364932,706364932,889076043,746925046,1
726833293,726833293,889076043,746925046,1
746925046,746925046,889076043,746925046,1
766966843,766966843,889076043,746925046,1
786988043,786988043,889076043,746925046,1
807604900,807604900,889076043,746925046,1
828282576,828282576,889076043,746925046,1
848472495,848472495,889076043,746925046,1
869023836,869023836,889076043,746925046,1
889076043,889076043,889076043,746925046,0
483042043,483042043,909677398,746925046,1
503840304,503840304,909677398,746925046,1
523954424,523954424,909677398,746925046,1
544120304,544120304,909677398,746925046,1
564280953,564280953,909677398,746925046,1
584359045,584359045,909677398,746925046,1
604537710,604537710,909677398,746925046,1
625119245,625119245,909677398,746925046,1
645431581,645431581,909677398,746925046,1
665822658,665822658,909677398,746925046,1
686201757,686201757,909677398,746925046,1
706364932,706364932,909677398,746925046,1
726833293,726833293,909677398,746925046,1
746925046,746925046,909677398,746925046,1
766966843,766966843,909677398,746925046,1
786988043,786988043,909677398,746925046,1
807604900,807604900,909677398,746925046,1
828282576,828282576,909677398,746925046,1
848472495,848472495,909677398,746925046,1
869023836,869023836,909677398,746925046,1
889076043,889076043,909677398,746925046,1
909677398,909677398,909677398,746925046,0
483042043,483042043,930305527,869023836,1
503840304,503840304,930305527,869023836,1
523954424,523954424,930305527,869023836,1
544120304,544120304,930305527,869023836,1
564280953,564280953,930305527,869023836,1
584359045,584359045,930305527,869023836,1
604537710,604537710,930305527,869023836,1
625119245,625119245,930305527,869023836,1
645431581,645431581,930305527,869023836,1
665822658,665822658,930305527,869023836,1
686201757,686201757,930305527,869023836,1
706364932,706364932,930305527,869023836,1
726833293,726833293,930305527,869023836,1
746925046,746925046,930305527,869023836,1
766966843,766966843,930305527,869023836,1
786988043,786988043,930305527,869023836,1
807604900,807604900,930305527,869023836,1
828282576,828282576,930305527,869023836,1
848472495,848472495,930305527,869023836,1
869023836,869023836,930305527,869023836,1
889076043,889076043,930305527,869023836,1
909677398,909677398,930305527,869023836,1
930305527,930305527,930305527,869023836,0
483042043,483042043,950310151,869023836,1
503840304,503840304,950310151,869023836,1
523954424,523954424,950310151,869023836,1
544120304,544120304,950310151,869023836,1
564280953,564280953,950310151,869023836,1
584359045,584359045,950310151,869023836,1
604537710,604537710,950310151,869023836,1
625119245,625119245,950310151,869023836,1
645431581,645431581,950310151,869023836,1
665822658,665822658,950310151,869023836,1
686201757,686201757,950310151,869023836,1
