t_us,quality_multiplier,primary_code,primary_score,score_INWARD_QUIET,score_RESONANCE_0P1,score_PHASED_VIPASSANA,score_TRAINED_VIPASSANA_SHIFT,score_AROUSAL_MEDITATION,score_SLOW_RECOVERY_VLF,elapsed_minutes
37254092,0.0,DATA_UNSTABLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57546933,0.68,STABLE_NEUTRAL,0.34,0.1768,0.0,0.14839934829654736,0.0,0.10945049741014096,0.34,0.3382140166666667
78065822,0.68,STABLE_NEUTRAL,0.34,0.0,0.0,0.14839934829654736,0.0,0.13502602430220834,0.34,0.6801955
98213623,0.68,STABLE_NEUTRAL,0.34,0.0,0.0,0.14839934829654736,0.0,0.1697894157098529,0.34,1.0159921833333334
119001825,0.68,STABLE_NEUTRAL,0.34,0.0,0.0,0.14839934829654736,0.0,0.2246391763834278,0.34,1.3624622166666667
139545673,0.68,STABLE_NEUTRAL,0.27914486358565166,0.2731537059479802,0.0,0.14839934829654736,0.0,0.0,0.27914486358565166,1.7048596833333334
159807825,0.68,STABLE_NEUTRAL,0.3264,0.3264,0.0,0.14839934829654736,0.0,0.0,0.238,2.0425622166666666
180485168,0.68,STABLE_NEUTRAL,0.3305205306610884,0.13962242020489954,0.0,0.14839934829654736,0.0,0.15426448113102773,0.3305205306610884,2.3871846
200858625,0.68,STABLE_NEUTRAL,0.2847319319752884,0.0,0.0,0.14839934829654736,0.0,0.2847319319752884,0.23802987848075619,2.7267422166666666
221285534,0.68,STABLE_NEUTRAL,0.34,0.0,0.0,0.14839934829654736,0.0,0.010244403875669666,0.34,3.0671907
241823046,0.68,STABLE_NEUTRAL,0.2550228811559625,0.15246216378143584,0.0,0.14839934829654736,0.0,0.0,0.2550228811559625,3.4094825666666666
261920149,0.68,STABLE_NEUTRAL,0.30356716432351005,0.09170465265818031,0.0,0.14839934829654736,0.0,0.0,0.30356716432351005,3.7444342833333333
282378388,0.68,STABLE_NEUTRAL,0.34,0.0,0.0,0.14839934829654736,0.0,0.01547328120688971,0.34,4.085404933333334
302892443,0.68,STABLE_NEUTRAL,0.34,0.0,0.0,0.14839934829654736,0.0,0.029263296287889897,0.34,4.42730585
323558625,1.0,STABLE_NEUTRAL,0.39453355819645214,0.37136116161166877,0.39453355819645214,0.2182343357302167,0.0,0.07748533163395002,0.13014529119539126,4.7717422166666665
343929554,1.0,STABLE_NEUTRAL,0.4425622729642229,0.24161099572309408,0.39453355819645214,0.2182343357302167,0.0,0.4425622729642229,0.143714489672112,5.1112577
364184077,1.0,STABLE_NEUTRAL,0.48000000000000004,0.22978029796854352,0.46053355819645214,0.2182343357302167,0.0,0.48000000000000004,0.16284245992709592,5.448833083333334
