t_us,elapsed_minutes,frequency_status,total_power_ms2,vlf_ms2,lf_ms2,hf_ms2,lf_hf,median_frequency_hz,median_frequency_mhz
323558625,0.0,VALID,3696.5022237437443,1718.4623899380008,1518.431927966707,443.95268750800506,3.4202561910143356,0.055492997655696104,55.4929976556961
343929554,0.3395154833333333,VALID,3507.941189497237,1797.1892628534063,1261.53159514845,431.0568229133408,2.926601617443988,0.03558706575865481,35.58706575865481
364184077,0.6770908666666666,VALID,3224.7527447213292,1721.2230879773128,1051.7201721516278,428.9923206305623,2.4516060581358134,0.03186660585808037,31.86660585808037
384512865,1.015904,VALID,3014.3698012752934,1611.2596540079694,928.9328120997136,440.7843843809591,2.1074539956861535,0.03288965358947237,32.889653589472374
405007825,1.3574866666666667,VALID,2576.7901277365913,1222.9277429326903,849.0618103293868,454.3038036593418,1.8689295653928821,0.048013272215510105,48.013272215510106
466314257,2.3792605333333334,LIMITED,2135.8764070036304,845.0834949269972,781.5739011442715,422.58284514382626,1.8495163969049961,0.05305599773787898,53.05599773787898
486894240,2.72226025,VALID,2523.390014666452,1197.4298799150727,846.1715122902846,396.81234070830686,2.1324223706850325,0.042953897594722214,42.953897594722214
507456625,3.064966666666667,VALID,3090.4001649268444,1756.0718548238535,883.9768583620837,376.9487098553959,2.345085247011968,0.019208155052342055,19.208155052342054
527618796,3.40100285,LIMITED,3368.840980232785,2094.973134544986,847.8309686681575,365.2757086799625,2.321071312768261,0.017701773701600455,17.701773701600455
567806625,4.0708,LIMITED,2619.1258768345924,1643.521978332536,596.3657514994593,350.7020945240578,1.7004909888228488,0.018895917893343564,18.895917893343565
588141954,4.40972215,LIMITED,1982.8926406954995,1165.9220787018276,460.15534563318676,338.0746728283971,1.3611056450441539,0.024232618902353224,24.232618902353224
608456080,4.748290916666667,LIMITED,1383.2396280608793,677.8810351972024,365.1112091533437,321.0491881389642,1.1372438325410357,0.0432911187444454,43.2911187444454
669857394,5.77164615,VALID,1592.676956797876,557.4310685198739,658.2664387430725,308.85100460791557,2.1313398011404807,0.06468620030075468,64.68620030075468
690182625,6.1104,LIMITED,2159.4293828046093,868.1499465834374,892.8109076254195,321.9283113528437,2.773322122163,0.0597906668655222,59.790666865522205
710463383,6.448412633333334,VALID,2650.0004897035215,1156.555041598906,1083.4892946333446,334.18028025939503,3.242229893973176,0.05691071594122587,56.91071594122587
731085394,6.792112816666667,LIMITED,2912.515600333696,1335.1976444927186,1166.5957878036106,339.7644353896194,3.433542967691235,0.05332708950101,53.32708950101
751680555,7.1353655,VALID,2824.091541249596,1271.8376773560776,1144.4458827451556,336.76392720674147,3.398362444094474,0.05518235717074347,55.18235717074347
771867315,7.4718115,VALID,2550.648341870079,1056.8939781983865,1081.49197119281,331.96165330418944,3.257882229553173,0.057894578918071385,57.89457891807138
792159214,7.810009816666667,VALID,2281.688720711756,815.9157909948177,1036.6344502392346,334.25201692743,3.1013558564832833,0.06188535029977894,61.88535029977894
812269733,8.145185133333333,VALID,2135.5579510461234,654.6617416761187,1026.9078227782607,348.922924166468,2.9430792637984773,0.07316258824250786,73.16258824250787
832278443,8.478663633333333,VALID,2163.259105175201,669.8370660637488,1022.0774149414442,370.45199840234466,2.7590009484342826,0.07673031681836397,76.73031681836396
852576832,8.816970116666667,VALID,2115.2862432373286,670.400477874843,975.1624541174451,388.164866203125,2.512237811876428,0.08049944732324857,80.49944732324857
873238883,9.161337633333334,VALID,1941.4104153956869,620.4867711138302,872.4997195272754,393.9624030257018,2.2146776261549865,0.08227542101821492,82.27542101821491
893415668,9.497617383333333,LIMITED,1713.2739727341716,550.9829616979524,743.8093912524164,389.26429712335107,1.9108081494993006,0.08113215428602437,81.13215428602437
914255888,9.844954383333333,LIMITED,1480.7697603817862,437.5097085502196,649.5214848237258,380.7721251358259,1.705801034127784,0.07933350761567769,79.33350761567769
934850354,10.188195483333333,VALID,1484.340792228104,462.8560556915898,638.1839783612489,374.1037577860099,1.705901010292163,0.07523417184133527,75.23417184133527
955372551,10.5302321,VALID,1644.673883007831,562.0006784681618,698.16085842809,367.89752766597337,1.897704675694298,0.06883752748096382,68.83752748096381
975921625,10.872716666666667,VALID,1893.502783115191,732.2652265515919,771.2175156013188,357.6094631791605,2.156591463618352,0.057913267269956374,57.91326726995637
996321292,11.212711116666666,VALID,2103.689631822585,903.6443207747387,801.7218063772242,344.3093841939595,2.328492463991603,0.048821450542502504,48.821450542502504
1016598292,11.550661116666667,VALID,2222.284822765562,1011.8298521549058,788.4012717064911,345.8690210859782,2.2794792931469443,0.044429232548901645,44.429232548901645
1036951668,11.88988405,VALID,2346.5491654654315,1086.946014223371,782.1507268277805,383.2399178707284,2.040890550163435,0.04286218175881554,42.86218175881554
1057428625,12.231166666666667,VALID,2652.540803153542,1248.836218250712,836.5345626941776,458.31773178913755,1.8252284488941608,0.042152806419463486,42.15280641946349
1077697083,12.5689743,VALID,3026.470896674225,1425.7751679497055,940.6158862659304,538.8765123902451,1.745512867305585,0.042337643084396935,42.33764308439694
1097852492,12.904897783333332,LIMITED,3099.230113375876,1364.5385735980221,1024.2685576356582,584.1864903849087,1.7533246223492576,0.05695224495219037,56.95224495219037
1118205435,13.2441135,LIMITED,2812.716169409296,1123.66422453837,1007.2798875085168,566.8615728023582,1.776941560051231,0.062372040245159334,62.37204024515933
1138910945,13.589205333333334,LIMITED,2237.6988462870763,791.9542907441349,867.8413881095121,492.1108617623025,1.7635078912944082,0.06704689588876606,67.04689588876606
1158940443,13.9230303,LIMITED,1811.1061654594466,666.9113489103526,692.4056853647861,401.4249531657989,1.7248695675348429,0.06425258039320972,64.25258039320971
1179485529,14.2654484,VALID,1762.6264925021542,806.3242037017503,602.8301612295642,326.8525167253971,1.8443491494851416,0.048869196539234494,48.869196539234494
1199743810,14.603086416666667,VALID,2266.8705620867795,1246.423656255236,703.2993835200186,288.3602639348452,2.438960812155896,0.03395430623168413,33.95430623168413
1220160163,14.943358966666667,LIMITED,3146.359598116269,1837.6392271505938,970.803120184586,282.76585035137396,3.433240325796891,0.03129497383576897,31.29497383576897
1240324843,15.279436966666667,LIMITED,3850.968698683671,2203.6504699380685,1265.8868659938637,294.374030232611,4.300266789816936,0.03209753402853369,32.097534028533694
1260365075,15.613440833333334,VALID,4005.5428073030525,2164.0177477759003,1427.5054388663104,310.71968714899816,4.5941905128843175,0.03486133783295563,34.86133783295563
1281086139,15.9587919,VALID,3494.01895750101,1693.5253897027508,1379.275644027262,325.5003603072162,4.23740128190784,0.04142359907380978,41.42359907380978
1301561204,16.300042983333334,LIMITED,2664.6589208760897,1107.909547426722,1149.6159043121174,337.70463591028624,3.4042052790105064,0.06734639270418123,67.34639270418123
1362197445,17.310647,LIMITED,1592.7783812474331,689.1073666644226,490.98926510272133,397.79022414805644,1.234291934031985,0.07097475329404164,70.97475329404163
1382393625,17.64725,LIMITED,2024.163523525772,1148.5969208496153,441.8375846186164,422.58512460655373,1.0455587735843461,0.02781494148049818,27.814941480498177
1443540928,18.666371716666667,LIMITED,2830.154804815113,1835.5449468759796,547.3536881776151,435.7490520614223,1.2561213514710328,0.02580281035891642,25.80281035891642
1463850911,19.004871433333335,LIMITED,2550.0416224459727,1458.804270666803,653.746630947891,424.26998104731064,1.5408741135399615,0.031233514608256952,31.233514608256954
1484087374,19.342145816666665,VALID,2162.7458453349063,970.7794893218775,762.9053350658198,413.251784150867,1.846102943350642,0.05145818423799795,51.458184237997955
