metric,count,mean,median,std,p25,p75,min,max
total_power_ms2,49,2476.131929959973,2346.5491654654315,656.994709379261,2024.163523525772,2912.515600333696,1383.2396280608793,4005.5428073030525
vlf_ms2,49,1156.3540954501666,1123.66422453837,478.179670262766,732.2652265515919,1458.804270666803,437.5097085502196,2203.6504699380685
lf_ms2,49,877.3348577917757,849.0618103293868,256.6221887760384,698.16085842809,1026.9078227782607,365.1112091533437,1518.431927966707
hf_ms2,49,384.1736025872973,374.1037577860099,67.0379179987928,336.76392720674147,422.58512460655373,282.76585035137396,584.1864903849087
lf_nu,49,68.43440012827608,68.07582497946122,7.3179442214087915,63.81410731084952,74.5326850690051,51.11360216515597,82.12431275451131
hf_nu,49,31.56559987172392,31.924175020538787,7.317944221408792,25.4673149309949,36.185892689150485,17.875687245488685,48.88639783484404
lf_hf,49,2.350600633710476,2.1324223706850325,0.8369608204225993,1.7635078912944082,2.926601617443988,1.0455587735843461,4.5941905128843175
hf_lf,49,0.47851983274887105,0.46895024820001013,0.1665396068089955,0.3416932438086233,0.5670516162340525,0.2176662019556045,0.9564263867939597
median_frequency_hz,49,0.05053761338075068,0.05145818423799795,0.018020316298530376,0.03486133783295563,0.06425258039320972,0.017701773701600455,0.08227542101821492
spectral_agreement,49,0.93791002370703,0.9440343363790797,0.0334279324618495,0.9206915117781167,0.9660316863217233,0.8504705847499785,0.9890474598134926
spectral_agreement_raw,49,0.8147651343569612,0.8246887865273593,0.09130456980297522,0.765725354655124,0.8851863871891259,0.5501003977720069,0.9581582517312051
spectral_shape_agreement,49,0.9467918973489663,0.9625423072074769,0.038718482359038554,0.9228145326913868,0.9732890632001427,0.8277332309966755,0.9937915856643667
band_power_agreement,49,0.9171856518758457,0.9251196302519928,0.04479402876326658,0.8792826765018529,0.9499720812853697,0.8250622471033611,0.9879794817884772
interpolation_agreement,49,0.9998267707353675,0.9998834366880498,0.00012815013860160854,0.9997669431612963,0.9999191542232524,0.9994654677249273,0.9999631918566066
