metric,count,mean,median,std,p25,p75,min,max
total_power_ms2,83,4789.744160565917,3927.6063282449186,3168.4907906026606,3011.3420559576048,4945.015256565979,1924.023556093514,17132.276699808386
vlf_ms2,83,2826.0792006690745,2051.392137777341,2623.435577093722,1484.8377072075768,2688.754789520489,724.3363075513498,13021.433327850435
lf_ms2,83,1474.9198989466374,1245.4407179534678,667.9356929886927,974.2408162624431,1838.9136814857047,568.1907472180832,3656.2894999154473
hf_ms2,83,392.1821329340032,341.1278303370153,142.55467692369308,295.93603947335055,490.40794894963824,184.46953357906312,743.7636184242731
lf_nu,83,78.07508796117192,78.49724332463147,4.863852628775602,75.58741912844548,80.82794177069083,65.55965133859306,89.5135584035394
hf_nu,83,21.92491203882808,21.502756675368538,4.863852628775602,19.172058229309172,24.412580871554532,10.486441596460603,34.44034866140696
lf_hf,83,3.8200618818701675,3.6505665068772437,1.2716157307871299,3.096266743023316,4.2159240706666745,1.9035710695942416,8.536123295985563
hf_lf,83,0.2858355085293695,0.27393008677313946,0.08187060180978205,0.2371959227149409,0.3229720947821887,0.11714919821627788,0.5253284292732797
median_frequency_hz,83,0.03755406809176515,0.03736960303043057,0.017194072775868267,0.0223217538020802,0.051100374282626086,0.011262387954276578,0.07990988903809845
spectral_agreement,83,0.9341787618161587,0.9375393985554807,0.03982755914395164,0.9096025821347251,0.9680205242138332,0.8080799118711746,0.9869672063211817
spectral_agreement_raw,83,0.8495271449024528,0.845179828960887,0.07378137057900074,0.8023514605503149,0.9131037098509827,0.6785851492585279,0.9630752650039621
spectral_shape_agreement,83,0.9412368170552383,0.9494131058226118,0.04237086183681369,0.9148881097148094,0.9741350156706774,0.7887078670829207,0.9962622487064847
band_power_agreement,83,0.9177099662583064,0.9272271538790067,0.05635169703534681,0.877731798387971,0.9640849497967141,0.7298000386724788,0.9920698609680804
interpolation_agreement,83,0.999945679677682,0.9999528549625272,3.590682374973206e-05,0.9999299228764787,0.9999693914721817,0.9998043091774608,0.9999925489589042
