seq,source_t_us,t_us,rr_ms,hr_bpm,score,timing_shift_ms,timing_quality,timing_uncertainty_ms,timing_recovered,refined,correction_method,waveform_score,reference_rr_ms,matched_firmware_t_us,inserted_by_smoother,low_prominence_rescue,detector_support_count,detector_names,detector_consensus,detector_time_spread_ms,single_detector,sequence_rescued,firmware_unmatched,local_clipped,flags
1777395,14219694044,14219702043,928.0,78.94695291077416,1.0,7.999,1.0,5.0,0,1,interval_core_consensus,1.0,868.0005,14219694044,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1777518,14220678044,14220686043,984.0,78.94695291077416,1.0,7.999,1.0,5.0,0,1,interval_core_consensus,1.0,855.9985,14220678044,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1777641,14221662047,14221670043,984.0,78.94695291077416,1.0,7.996,1.0,5.0,0,1,interval_core_consensus,1.0,835.9970000000001,14221662047,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1777755,14222582043,14222582043,912.0,72.81588745576435,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,812.0,14222582043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1777872,14223518046,14223518046,936.003,65.78947368421052,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,812.0,14223518046,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1777988,14224446045,14224446045,927.999,64.65524208539017,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,812.0,14224446045,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1778094,14225294043,14225294043,847.998,64.65524208539017,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,815.998,14225294043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1778194,14226086047,14226094047,800.004,64.65524208539017,1.0,8.0,1.0,5.0,0,1,interval_core_consensus,1.0,823.9995,14226086047,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1778287,14226838043,14226838043,743.996,64.65524208539017,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,836.0005000000001,14226838043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1778383,0,14227606043,768.0,65.78947368421052,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,847.999,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,1
1778481,14228054043,14228390045,784.002,70.75488385585815,1.0,336.002,1.0,5.0,0,1,interval_core_consensus,1.0,847.999,14228054043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,185
1778579,14229166043,14229174043,783.998,74.99962500187499,1.0,8.0,1.0,5.0,0,1,interval_core_consensus,1.0,856.004,14229166043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1778682,14229998046,14229998046,824.003,74.99962500187499,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,871.997,14229998046,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1778791,14230870043,14230870043,871.997,74.99962500187499,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,871.997,14230870043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1778906,14231782045,14231790042,919.999,74.99962500187499,1.0,7.997,1.0,5.0,0,1,interval_core_consensus,1.0,856.004,14231782045,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1779013,14232646046,14232646046,856.004,74.99962500187499,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,856.004,14232646046,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1779124,14233534046,14233534046,888.0,72.81526887644826,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,848.004,14233534046,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1779229,14234374043,14234374043,839.997,71.42882653152333,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,848.002,14234374043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1779335,14235222043,14235222043,848.0,70.75471698113208,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,848.002,14235222043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1779445,14236102047,14236102047,880.004,70.09313040593268,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,848.002,14236102047,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1779560,14237014043,14237022044,919.997,68.80757617285381,1.0,8.001,1.0,5.0,0,1,interval_core_consensus,1.0,852.001,14237014043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1779673,14237926043,14237926043,903.999,68.18150826587151,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,856.004,14237926043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1779779,14238766047,14238774047,848.004,68.18150826587151,1.0,8.0,1.0,5.0,0,1,interval_core_consensus,1.0,864.0,14238766047,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1779887,14239638047,14239638047,864.0,69.44444444444444,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,864.0,14239638047,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1779989,14240454043,14240454043,815.996,69.44444444444444,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,864.001,14240454043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1780094,14241294045,14241294045,840.002,70.75438323404134,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,864.001,14241294045,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1780201,14242142043,14242150043,855.998,70.09362171406943,1.0,8.0,1.0,5.0,0,1,interval_core_consensus,1.0,864.0,14242142043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1780312,14243038043,14243038043,888.0,69.44444444444444,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,856.004,14243038043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1780428,14243966043,14243966043,928.0,69.44444444444444,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,855.999,14243966043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1780543,14244886046,14244886046,920.003,69.44444444444444,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,852.001,14244886046,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1780651,14245750047,14245750047,864.001,69.44444444444444,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,852.001,14245750047,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1780756,14246590047,14246590047,840.0,69.44444444444444,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,852.001,14246590047,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1780865,14247454043,14247462047,872.0,69.44436406902307,1.0,8.004,1.0,5.0,0,1,interval_core_consensus,1.0,844.0029999999999,14247454043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1780972,14248310043,14248318046,855.999,69.44436406902307,1.0,8.003,1.0,5.0,0,1,interval_core_consensus,1.0,840.0,14248310043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1781070,14249102043,14249102043,783.997,69.44436406902307,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,815.996,14249102043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1781167,14249878045,14249878045,776.002,69.44436406902307,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,799.9965,14249878045,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1781261,0,14250630043,751.998,70.09353982890167,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,783.997,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,1
1781352,14251358043,14251358043,728.0,71.42857142857143,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,779.9994999999999,14251358043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,185
1781442,14252078043,14252078043,720.0,76.53090509274908,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,776.002,14252078043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1781531,14252790044,14252790044,712.001,77.31938835209188,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,776.002,14252790044,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1781620,14253494043,14253502044,712.0,79.7874462432081,1.0,8.001,1.0,5.0,0,1,interval_core_consensus,1.0,776.002,14253494043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1781707,14254198043,14254198043,695.999,82.41758241758242,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,776.002,14254198043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1781797,14254918045,14254918045,720.002,83.33310185249486,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,767.999,14254918045,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1781889,0,14255654046,736.001,83.33310185249486,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,772.0005,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,17
1781980,14256062044,14256382047,728.001,83.33310185249486,1.0,320.003,1.0,5.0,0,1,interval_core_consensus,1.0,772.0005,14256062044,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,185
1782074,14257134043,14257134043,751.996,83.33310185249486,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,772.0005,14257134043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1782174,14257934044,14257934044,800.001,83.33310185249486,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,767.999,14257934044,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1782270,14258702043,14258702043,767.999,82.41746920677306,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,767.999,14258702043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1782375,14259542047,14259542047,840.004,81.52162836735276,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,767.999,14259542047,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1782482,14260398047,14260398047,856.0,79.78765844499173,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,767.999,14260398047,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1782585,14261214043,14261222043,823.996,78.12510172539287,1.0,8.0,1.0,5.0,0,1,interval_core_consensus,1.0,767.999,14261214043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1782679,14261974043,14261974043,752.0,78.12510172539287,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,791.999,14261974043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1782780,14262774044,14262782046,808.003,74.99990625011719,1.0,8.002,1.0,5.0,0,1,interval_core_consensus,1.0,800.001,14262774044,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1782883,14263606043,14263606043,823.997,74.25715003533402,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,808.003,14263606043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1782987,14264438043,14264438043,832.0,72.81588745576435,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,816.0,14264438043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
