t_us,rmssd_ms,valid_rr_count,artifact_ratio,valid
8621814044,289.52,60,0.0,1
8641814046,289.52,60,0.0,1
8661822043,289.52,60,0.0,1
8681822043,289.52,60,0.0,1
8701822046,289.52,60,0.0,1
8721830043,289.52,60,0.0,1
8741830045,289.52,60,0.0,1
8761838045,289.52,60,0.0,1
8781846043,289.52,60,0.0,1
8801846043,289.52,60,0.0,1
8821846043,289.52,60,0.0,1
8841846043,289.52,60,0.0,1
8861846043,261.62,60,0.0,1
8881846043,241.16,60,0.0,1
8901846043,203.06,60,0.0,1
8921846043,135.33,60,0.0,1
8941846043,128.22,60,0.0,1
8961846047,28.7,60,0.0,1
8981846047,29.98,60,0.0,1
9001854046,28.87,60,0.0,1
9021862043,34.09,60,0.0,1
9041862043,31.98,60,0.0,1
9061862045,34.08,60,0.0,1
9081862045,29.63,60,0.0,1
9101862045,29.02,60,0.0,1
9121862045,26.45,60,0.0,1
9141862046,40.09,60,0.0,1
9161870043,42.88,60,0.0,1
9181870047,44.74,60,0.0,1
9201878043,36.02,60,0.0,1
9221878043,31.77,60,0.0,1
9241878043,40.96,60,0.0,1
9261878043,39.51,60,0.0,1
9281878043,39.01,60,0.0,1
9301878047,24.79,60,0.0,1
9321886045,20.16,60,0.0,1
9341894044,20.91,60,0.0,1
9361894045,21.32,60,0.0,1
9381902044,37.06,60,0.0,1
9401910046,40.96,60,0.0,1
9421918047,51.33,60,0.0,1
9441926047,51.26,60,0.0,1
9461934045,58.01,60,0.0,1
9481942043,50.88,60,0.0,1
9501942046,42.68,60,0.0,1
9521950044,44.3,60,0.0,1
9541958043,45.96,60,0.0,1
9561958043,50.48,60,0.0,1
9581958043,61.82,60,0.0,1
9601958043,50.72,60,0.0,1
9621958043,32.98,60,0.0,1
9641958043,39.38,60,0.0,1
9661958045,48.01,60,0.0,1
9681966043,55.26,60,0.0,1
9701966043,56.32,60,0.0,1
9721966047,62.19,60,0.0,1
9741966047,58.48,60,0.0,1
9761974043,51.91,60,0.0,1
9781974043,43.19,60,0.0,1
9801974046,59.16,60,0.0,1
9821974046,59.19,60,0.0,1
9841974046,69.79,60,0.0,1
9861982044,72.17,60,0.0,1
9881982046,61.97,60,0.0,1
9901982046,51.67,60,0.0,1
9921990043,48.62,60,0.0,1
9941990043,41.12,60,0.0,1
9961990043,144.26,60,0.0,1
9981990043,142.69,60,0.0,1
10001990046,146.99,60,0.0,1
10021998047,48.54,60,0.0,1
10042006047,51.91,60,0.0,1
10062014047,34.65,60,0.0,1
10082022043,32.54,60,0.0,1
10102022043,28.25,60,0.0,1
10122022043,25.23,60,0.0,1
10142022047,34.74,60,0.0,1
10162030047,38.1,60,0.0,1
10182038046,52.95,60,0.0,1
10202038046,53.47,60,0.0,1
10222046043,45.63,60,0.0,1
10242046047,29.06,60,0.0,1
10262054046,32.62,60,0.0,1
10282062047,28.26,60,0.0,1
10302070045,29.4,60,0.0,1
10322078045,22.93,60,0.0,1
10342086043,25.49,60,0.0,1
10362086043,29.53,60,0.0,1
10382086043,41.13,60,0.0,1
10402086047,43.39,60,0.0,1
10422094046,44.74,60,0.0,1
10442102047,32.57,60,0.0,1
10462110043,41.03,60,0.0,1
10482110043,40.5,60,0.0,1
10502110044,42.95,60,0.0,1
10522110045,33.13,60,0.0,1
10542118043,34.07,60,0.0,1
10562118043,30.41,60,0.0,1
10582118046,40.9,60,0.0,1
10602126043,42.9,60,0.0,1
10622126043,42.19,60,0.0,1
10642126046,41.39,60,0.0,1
10662134043,40.07,60,0.0,1
10682134046,27.85,60,0.0,1
10702142043,25.48,60,0.0,1
10722142043,24.52,60,0.0,1
10742142043,22.76,60,0.0,1
10762142043,33.56,60,0.0,1
10782142043,35.88,60,0.0,1
10802142043,37.01,60,0.0,1
10822142043,27.99,60,0.0,1
