t_us,window_start_t_us,window_end_t_us,sample_count,raw_min,raw_p05,raw_p50,raw_p95,raw_max,avg_p05,avg_p50,avg_p95,filtered_p05,filtered_p50,filtered_p95,filtered_std,filtered_peak_to_peak,clip_low_ratio,clip_high_ratio,wear_ratio,wear_transition_count,max_no_wear_run_ms,candidate_count,detector_score_p50,expected_rr_ms_p50,firmware_hr_bpm_p50,firmware_hr_zero_ratio,effective_sample_rate_hz,timing_jitter_p95_ms,sqi,sqi_wear_ratio,sqi_clip_low_ratio,sqi_clip_high_ratio,transport_score,transport_status,contact_score,contact_status,protocol_error_ratio,protocol_seq_gaps,sample_drop_count,sample_queue_depth,sample_queue_high_water,corrector_reference_rr_ms,corrector_autocorr_confidence,corrector_polarity,corrector_candidate_count,corrector_selected_count,corrector_inserted_count,corrector_firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason
8668510043,8663510043,8668510043,626,100.000000,107.000000,144.000000,334.750000,359.000000,108.000000,144.500000,323.750000,-67.000000,-27.000000,140.000000,67.160880,235.000000,0.000000,0.000000,1.000000,0,0.000000,34,0.508500,728.000000,0.000000,1.000000,125.000000,0.004000,0.998908,1.000000,0.000000,0.000000,0.997121,VALID,1.000000,VALID,0.000158,0,0,0,4,848.003000,1.000000,1,22,0,0,0,22,22,22,0,1.000000,0.000000,851.297899,848.003000,0.125875,dual_strong_update
8673510043,8668510043,8673510043,626,84.000000,94.250000,136.000000,341.750000,369.000000,96.000000,137.500000,330.500000,-77.000000,-34.000000,149.750000,77.424866,261.000000,0.000000,0.000000,1.000000,0,0.000000,25,0.520000,728.000000,0.000000,1.000000,125.000000,0.004000,0.998978,1.000000,0.000000,0.000000,0.997295,VALID,1.000000,VALID,0.000144,0,0,0,4,840.001000,1.000000,1,22,1,0,1,22,22,22,0,1.000000,0.000000,841.361929,840.001000,0.112955,dual_strong_update
8678510043,8673510043,8678510043,626,83.000000,93.000000,132.000000,348.750000,375.000000,95.000000,133.000000,336.000000,-78.000000,-36.000000,157.000000,78.708544,262.000000,0.000000,0.000000,1.000000,0,0.000000,23,0.508000,728.000000,0.000000,1.000000,125.000000,0.004000,0.999037,1.000000,0.000000,0.000000,0.997442,VALID,1.000000,VALID,0.000133,0,0,0,4,848.000000,1.000000,1,22,0,0,0,22,22,22,0,1.000000,0.000000,847.960449,848.000000,0.083928,dual_strong_update
8683510043,8678510043,8683510043,626,70.000000,82.000000,125.000000,366.000000,395.000000,84.000000,125.000000,353.000000,-88.000000,-43.000000,171.750000,86.199409,288.000000,0.000000,0.000000,1.000000,0,0.000000,25,0.513000,728.000000,0.000000,1.000000,125.000000,0.004000,0.999092,1.000000,0.000000,0.000000,0.997579,VALID,1.000000,VALID,0.000122,0,0,0,4,800.000000,1.000000,1,24,1,0,0,24,24,24,0,1.000000,0.000000,801.502417,800.000000,0.074132,dual_strong_update
8688510047,8683518044,8688510047,625,68.000000,76.000000,134.000000,387.800000,422.000000,78.000000,135.000000,377.400000,-95.000000,-32.000000,195.800000,94.091338,322.000000,0.000000,0.000000,1.000000,0,0.000000,20,0.511000,728.000000,0.000000,1.000000,125.000000,0.004000,0.999134,1.000000,0.000000,0.000000,0.997685,VALID,1.000000,VALID,0.000113,0,0,0,4,800.000000,1.000000,1,24,0,0,0,24,24,24,0,1.000000,0.000000,800.001045,800.000000,0.088956,dual_strong_update
8693518043,8688518043,8693518043,626,76.000000,84.000000,135.000000,367.750000,396.000000,87.000000,136.000000,354.750000,-85.000000,-33.000000,174.000000,85.868008,292.000000,0.000000,0.000000,1.000000,0,0.000000,28,0.515000,728.000000,0.000000,1.000000,125.000000,0.004000,0.999171,1.000000,0.000000,0.000000,0.997776,VALID,1.000000,VALID,0.000106,0,0,0,4,844.000000,0.958333,1,24,0,0,0,23,24,23,1,0.958333,0.000000,846.380510,844.000000,0.077294,dual_strong_update
8698518044,8693526046,8698518044,625,76.000000,87.200000,131.000000,366.000000,390.000000,89.000000,132.000000,353.000000,-83.000000,-36.000000,172.000000,85.151911,277.000000,0.000000,0.000000,1.000000,0,0.000000,20,0.505000,728.000000,0.000000,1.000000,125.000000,0.004000,0.999206,1.000000,0.000000,0.000000,0.997865,VALID,1.000000,VALID,0.000099,0,0,0,4,848.004000,1.000000,1,23,0,0,0,23,23,23,0,1.000000,0.000000,848.267273,848.004000,0.062940,dual_strong_update
8703526043,8698526047,8703526043,626,77.000000,89.000000,136.000000,360.000000,383.000000,91.000000,135.500000,349.000000,-83.000000,-34.000000,166.750000,81.625816,277.000000,0.000000,0.000000,1.000000,0,0.000000,20,0.513000,728.000000,0.000000,1.000000,125.000000,0.004000,0.999234,1.000000,0.000000,0.000000,0.997936,VALID,1.000000,VALID,0.000093,0,0,0,4,856.003000,1.000000,1,22,1,0,1,22,22,22,0,1.000000,0.000000,859.710839,856.003000,0.055414,dual_strong_update
8708526043,8703526043,8708526043,626,73.000000,84.000000,132.000000,365.750000,396.000000,84.250000,134.500000,352.000000,-87.750000,-36.000000,172.000000,86.220675,291.000000,0.000000,0.000000,1.000000,0,0.000000,19,0.516000,728.000000,0.000000,1.000000,125.000000,0.004000,0.999259,1.000000,0.000000,0.000000,0.997998,VALID,1.000000,VALID,0.000088,0,0,0,4,836.000000,1.000000,1,23,1,0,0,23,23,23,0,1.000000,0.000000,837.640199,836.000000,0.063839,dual_strong_update
8713526045,8708534043,8713526045,625,76.000000,82.000000,127.000000,382.000000,401.000000,84.000000,129.000000,368.000000,-88.000000,-38.000000,186.800000,90.289510,297.000000,0.000000,0.000000,1.000000,0,0.000000,25,0.507000,728.000000,0.000000,1.000000,125.000000,0.004000,0.999284,1.000000,0.000000,0.000000,0.998061,VALID,1.000000,VALID,0.000083,0,0,0,4,848.000000,0.956522,1,23,0,0,0,22,23,22,1,0.956522,0.000000,842.676382,848.000000,0.055954,dual_strong_update
8718534043,8713534043,8718534043,626,80.000000,84.250000,131.000000,381.500000,404.000000,87.000000,131.000000,365.750000,-87.000000,-39.000000,182.750000,88.623674,294.000000,0.000000,0.000000,1.000000,0,0.000000,18,0.508000,728.000000,0.000000,1.000000,125.000000,0.004000,0.999304,1.000000,0.000000,0.000000,0.998111,VALID,1.000000,VALID,0.000079,0,0,0,4,844.001500,1.000000,1,23,0,0,0,23,23,23,0,1.000000,0.000000,845.025042,844.001500,0.056210,dual_strong_update
