t_us,last_committed_t_us,polarity,template_correlation,autocorr_estimated_rr_ms,firmware_expected_rr_ms,candidate_peak_count,final_peak_count,inserted_peak_count,firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason,waveform_amplitude,commit_until_t_us,latest_sample_t_us,reinit_reason
8758550043,8750638043,1,1.000000,824.001000,792.000000,23,0,0,0,23,23,23,0,1.000000,0.000000,829.678196,824.001000,0.050380,dual_strong_update,4.472515,8751116043,8758366043,
8763550043,8755566043,1,1.000000,808.002000,816.000000,23,0,0,0,23,23,23,0,1.000000,0.000000,811.922122,808.002000,0.044038,dual_strong_update,4.653760,8756188047,8763438047,
8768550043,8761230043,1,1.000000,816.002000,820.000000,24,1,0,1,24,24,24,0,1.000000,0.000000,815.767733,816.002000,0.043613,dual_strong_update,4.573293,8761260047,8768510047,
8773550043,8765430043,1,1.000000,791.996000,784.000000,24,0,0,0,24,24,24,0,1.000000,0.000000,793.528335,791.996000,0.074881,dual_strong_update,4.503880,8766124043,8773374043,
8778550047,8770502043,1,1.000000,816.002000,751.998500,24,0,0,0,24,24,24,0,1.000000,0.000000,813.879493,816.002000,0.101747,dual_strong_update,4.302778,8771180045,8778430045,
8783558043,8776126044,1,1.000000,823.996000,860.003000,24,1,0,0,24,24,24,0,1.000000,0.000000,821.308999,823.996000,0.143950,dual_strong_update,4.204960,8776228043,8783478043,
8788558043,8780558043,1,1.000000,867.998500,852.001000,23,0,0,0,23,23,23,0,1.000000,0.000000,867.309116,867.998500,0.075158,dual_strong_update,4.532957,8781284043,8788534043,
8793558046,8785878043,1,1.000000,872.001000,808.000000,23,0,0,0,23,23,23,0,1.000000,0.000000,871.640989,872.001000,0.068015,dual_strong_update,4.578732,8786148047,8793398047,
8798558046,8791166044,1,1.000000,871.997000,816.000000,22,1,0,1,22,22,22,0,1.000000,0.000000,871.998716,871.997000,0.095208,dual_strong_update,4.640307,8791204046,8798454046,
8803566043,8795942046,1,1.000000,824.000000,835.999500,23,0,0,0,23,23,23,0,1.000000,0.000000,825.787105,824.000000,0.071972,dual_strong_update,4.809971,8796268045,8803518045,
8808566044,8800926043,1,1.000000,872.000000,839.999500,22,0,0,0,22,22,22,0,1.000000,0.000000,863.384940,872.000000,0.081611,dual_strong_update,4.494450,8801316044,8808566044,
8813566047,8806142043,1,0.956522,832.000000,847.999000,23,1,0,0,22,23,22,1,0.956522,0.000000,834.067524,832.000000,0.071279,dual_strong_update,4.967746,8806236045,8813486045,
8818574045,8811126043,1,1.000000,859.998000,840.000000,23,1,0,1,23,23,23,0,1.000000,0.000000,851.194301,859.998000,0.082753,dual_strong_update,4.766874,8811292044,8818542044,
8823582043,8815510047,1,0.956522,847.996000,863.995000,23,0,0,0,22,23,22,1,0.956522,0.000000,859.588066,847.996000,0.069948,dual_strong_update,4.793571,8816324043,8823574043,
8828582043,8820838043,1,1.000000,855.998000,832.003000,23,0,0,0,23,23,23,0,1.000000,0.000000,850.804246,855.998000,0.069274,dual_strong_update,4.560299,8821188047,8828438047,
8833582043,8825742047,1,1.000000,852.000000,831.999000,23,0,0,0,23,23,23,0,1.000000,0.000000,851.482395,852.000000,0.041763,dual_strong_update,4.474375,8826268045,8833518045,
8838582043,8830830043,1,0.958333,820.002000,828.000000,24,0,0,0,23,24,23,1,0.958333,0.000000,827.243005,820.002000,0.043397,dual_strong_update,4.372032,8831132045,8838382045,
8843582043,8835758043,1,1.000000,800.000000,795.998500,24,0,0,0,24,24,24,0,1.000000,0.000000,809.385095,800.000000,0.074130,dual_strong_update,4.411552,8836196043,8843446043,
8848582043,8840934043,1,1.000000,784.000000,791.997000,24,0,0,0,24,24,24,0,1.000000,0.000000,786.527922,784.000000,0.105900,dual_strong_update,4.695506,8841252045,8848502045,
8853582044,8845478043,1,1.000000,784.000000,852.001500,24,0,0,0,24,24,24,0,1.000000,0.000000,785.389618,784.000000,0.136165,dual_strong_update,4.217152,8846300046,8853550046,
