t_us,window_start_t_us,window_end_t_us,sample_count,raw_min,raw_p05,raw_p50,raw_p95,raw_max,avg_p05,avg_p50,avg_p95,filtered_p05,filtered_p50,filtered_p95,filtered_std,filtered_peak_to_peak,clip_low_ratio,clip_high_ratio,wear_ratio,wear_transition_count,max_no_wear_run_ms,candidate_count,detector_score_p50,expected_rr_ms_p50,firmware_hr_bpm_p50,firmware_hr_zero_ratio,effective_sample_rate_hz,timing_jitter_p95_ms,sqi,sqi_wear_ratio,sqi_clip_low_ratio,sqi_clip_high_ratio,transport_score,transport_status,contact_score,contact_status,protocol_error_ratio,protocol_seq_gaps,sample_drop_count,sample_queue_depth,sample_queue_high_water,corrector_reference_rr_ms,corrector_autocorr_confidence,corrector_polarity,corrector_candidate_count,corrector_selected_count,corrector_inserted_count,corrector_firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason
14245654047,14240662044,14245654047,625,37.000000,53.000000,112.000000,359.800000,383.000000,55.000000,113.000000,345.800000,-98.000000,-43.000000,181.800000,89.129398,329.000000,0.000000,0.000000,1.000000,0,0.000000,35,0.511000,860.800000,68.800000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,856.004000,0.956522,1,23,0,0,0,23,22,22,1,0.956522,0.000000,854.897017,856.004000,0.055417,dual_strong_update
14250662043,14245662043,14250662043,626,29.000000,69.000000,132.000000,327.750000,350.000000,72.000000,133.500000,315.750000,-82.000000,-22.500000,152.000000,79.604141,281.000000,0.000000,0.000000,1.000000,0,0.000000,22,0.522000,860.800000,69.400000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,856.004000,0.956522,1,23,1,0,1,23,22,22,1,0.956522,0.000000,859.926028,856.004000,0.027724,dual_strong_update
14255662043,14250662043,14255662043,626,51.000000,60.250000,109.500000,349.000000,375.000000,63.000000,113.000000,334.750000,-90.000000,-43.000000,167.000000,89.039891,297.000000,0.000000,0.000000,1.000000,0,0.000000,26,0.527000,840.000000,69.400000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,840.001000,1.000000,1,23,0,0,0,23,23,23,0,1.000000,0.000000,842.969455,840.001000,0.105902,dual_strong_update
14260662047,14255670043,14260662047,625,28.000000,38.000000,101.000000,383.000000,406.000000,40.000000,106.000000,374.000000,-112.000000,-43.000000,211.800000,108.308636,348.000000,0.000000,0.000000,1.000000,0,0.000000,20,0.521000,840.000000,70.100000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,776.002000,1.000000,1,24,0,0,0,24,24,24,0,1.000000,0.000000,777.027078,776.002000,0.122272,dual_strong_update
14265670043,14260670045,14265670043,626,47.000000,55.000000,108.000000,378.750000,401.000000,57.000000,108.000000,361.750000,-98.750000,-43.000000,196.750000,97.796341,320.000000,0.000000,0.000000,1.000000,0,0.000000,23,0.499500,814.400000,73.500000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,772.000500,1.000000,1,25,0,0,0,25,25,25,0,1.000000,0.000000,770.259711,772.000500,0.099857,dual_strong_update
14270670043,14265670043,14270670043,626,60.000000,67.000000,114.000000,372.000000,395.000000,68.000000,115.000000,357.750000,-89.000000,-38.500000,191.250000,92.680531,305.000000,0.000000,0.000000,1.000000,0,0.000000,18,0.503000,833.600000,72.100000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,808.003000,0.960000,1,25,0,0,0,24,25,24,1,0.960000,0.000000,798.259283,808.003000,0.088077,dual_strong_update
14275670043,14270670043,14275670043,626,64.000000,73.250000,120.000000,365.750000,388.000000,76.000000,121.000000,350.500000,-82.750000,-36.000000,179.000000,85.151499,294.000000,0.000000,0.000000,1.000000,0,0.000000,28,0.507500,867.200000,68.800000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,840.004000,1.000000,1,22,0,0,0,22,22,22,0,1.000000,0.000000,836.427150,840.004000,0.056467,dual_strong_update
14280670044,14275678045,14280670044,625,52.000000,67.000000,114.000000,365.000000,400.000000,68.000000,114.000000,355.600000,-91.800000,-39.000000,188.800000,92.226762,316.000000,0.000000,0.000000,1.000000,0,0.000000,23,0.514000,880.000000,68.200000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,856.004000,1.000000,1,22,1,0,1,22,22,22,0,1.000000,0.000000,850.834056,856.004000,0.041568,dual_strong_update
14285670047,14280678043,14285670047,625,49.000000,57.000000,117.000000,393.600000,419.000000,59.000000,118.000000,376.000000,-100.000000,-33.000000,208.800000,102.006958,340.000000,0.000000,0.000000,1.000000,0,0.000000,19,0.519000,888.000000,67.600000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,884.000000,0.954545,1,22,0,0,0,22,21,21,1,0.954545,0.000000,881.683214,884.000000,0.040257,dual_strong_update
14290678043,14285678046,14290678043,626,48.000000,64.000000,113.000000,370.750000,403.000000,66.250000,114.000000,357.000000,-93.000000,-42.000000,189.500000,90.257561,319.000000,0.000000,0.000000,1.000000,0,0.000000,23,0.512000,889.600000,67.600000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,887.998000,1.000000,1,21,0,0,0,21,21,21,0,1.000000,0.000000,887.994855,887.998000,0.033401,dual_strong_update
