t_us,score_t_us,latest_data_t_us,baseline_version,uses_future_data
14360278043,14360278043,14522990046,14360278043,1
14380870043,14380870043,14522990046,14360278043,1
14401350045,14401350045,14522990046,14360278043,1
14421478044,14421478044,14522990046,14360278043,1
14441846043,14441846043,14522990046,14360278043,1
14462022043,14462022043,14522990046,14360278043,1
14482382043,14482382043,14522990046,14360278043,1
14502942043,14502942043,14522990046,14360278043,1
14522990046,14522990046,14522990046,14360278043,0
14217190043,14217190043,14543038046,14482382043,1
14237926043,14237926043,14543038046,14482382043,1
14257934044,14257934044,14543038046,14482382043,1
14278350047,14278350047,14543038046,14482382043,1
14298822047,14298822047,14543038046,14482382043,1
14319302045,14319302045,14543038046,14482382043,1
14339902047,14339902047,14543038046,14482382043,1
14360278043,14360278043,14543038046,14482382043,1
14380870043,14380870043,14543038046,14482382043,1
14401350045,14401350045,14543038046,14482382043,1
14421478044,14421478044,14543038046,14482382043,1
14441846043,14441846043,14543038046,14482382043,1
14462022043,14462022043,14543038046,14482382043,1
14482382043,14482382043,14543038046,14482382043,1
14502942043,14502942043,14543038046,14482382043,1
14522990046,14522990046,14543038046,14482382043,1
14543038046,14543038046,14543038046,14482382043,0
14217190043,14217190043,14563590046,14482382043,1
14237926043,14237926043,14563590046,14482382043,1
14257934044,14257934044,14563590046,14482382043,1
14278350047,14278350047,14563590046,14482382043,1
14298822047,14298822047,14563590046,14482382043,1
14319302045,14319302045,14563590046,14482382043,1
14339902047,14339902047,14563590046,14482382043,1
14360278043,14360278043,14563590046,14482382043,1
14380870043,14380870043,14563590046,14482382043,1
14401350045,14401350045,14563590046,14482382043,1
14421478044,14421478044,14563590046,14482382043,1
14441846043,14441846043,14563590046,14482382043,1
14462022043,14462022043,14563590046,14482382043,1
14482382043,14482382043,14563590046,14482382043,1
14502942043,14502942043,14563590046,14482382043,1
14522990046,14522990046,14563590046,14482382043,1
14543038046,14543038046,14563590046,14482382043,1
14563590046,14563590046,14563590046,14482382043,0
14217190043,14217190043,14584222047,14482382043,1
14237926043,14237926043,14584222047,14482382043,1
14257934044,14257934044,14584222047,14482382043,1
14278350047,14278350047,14584222047,14482382043,1
14298822047,14298822047,14584222047,14482382043,1
14319302045,14319302045,14584222047,14482382043,1
14339902047,14339902047,14584222047,14482382043,1
14360278043,14360278043,14584222047,14482382043,1
14380870043,14380870043,14584222047,14482382043,1
14401350045,14401350045,14584222047,14482382043,1
14421478044,14421478044,14584222047,14482382043,1
14441846043,14441846043,14584222047,14482382043,1
14462022043,14462022043,14584222047,14482382043,1
14482382043,14482382043,14584222047,14482382043,1
14502942043,14502942043,14584222047,14482382043,1
14522990046,14522990046,14584222047,14482382043,1
14543038046,14543038046,14584222047,14482382043,1
14563590046,14563590046,14584222047,14482382043,1
14584222047,14584222047,14584222047,14482382043,0
14217190043,14217190043,14604590043,14482382043,1
14237926043,14237926043,14604590043,14482382043,1
14257934044,14257934044,14604590043,14482382043,1
14278350047,14278350047,14604590043,14482382043,1
14298822047,14298822047,14604590043,14482382043,1
14319302045,14319302045,14604590043,14482382043,1
14339902047,14339902047,14604590043,14482382043,1
14360278043,14360278043,14604590043,14482382043,1
14380870043,14380870043,14604590043,14482382043,1
14401350045,14401350045,14604590043,14482382043,1
14421478044,14421478044,14604590043,14482382043,1
14441846043,14441846043,14604590043,14482382043,1
14462022043,14462022043,14604590043,14482382043,1
14482382043,14482382043,14604590043,14482382043,1
14502942043,14502942043,14604590043,14482382043,1
14522990046,14522990046,14604590043,14482382043,1
14543038046,14543038046,14604590043,14482382043,1
14563590046,14563590046,14604590043,14482382043,1
14584222047,14584222047,14604590043,14482382043,1
14604590043,14604590043,14604590043,14482382043,0
14217190043,14217190043,14624686043,14482382043,1
14237926043,14237926043,14624686043,14482382043,1
14257934044,14257934044,14624686043,14482382043,1
14278350047,14278350047,14624686043,14482382043,1
14298822047,14298822047,14624686043,14482382043,1
14319302045,14319302045,14624686043,14482382043,1
14339902047,14339902047,14624686043,14482382043,1
14360278043,14360278043,14624686043,14482382043,1
14380870043,14380870043,14624686043,14482382043,1
14401350045,14401350045,14624686043,14482382043,1
14421478044,14421478044,14624686043,14482382043,1
14441846043,14441846043,14624686043,14482382043,1
14462022043,14462022043,14624686043,14482382043,1
14482382043,14482382043,14624686043,14482382043,1
14502942043,14502942043,14624686043,14482382043,1
14522990046,14522990046,14624686043,14482382043,1
14543038046,14543038046,14624686043,14482382043,1
14563590046,14563590046,14624686043,14482382043,1
14584222047,14584222047,14624686043,14482382043,1
14604590043,14604590043,14624686043,14482382043,1
14624686043,14624686043,14624686043,14482382043,0
14217190043,14217190043,14644926044,14482382043,1
14237926043,14237926043,14644926044,14482382043,1
14257934044,14257934044,14644926044,14482382043,1
14278350047,14278350047,14644926044,14482382043,1
14298822047,14298822047,14644926044,14482382043,1
14319302045,14319302045,14644926044,14482382043,1
14339902047,14339902047,14644926044,14482382043,1
14360278043,14360278043,14644926044,14482382043,1
14380870043,14380870043,14644926044,14482382043,1
14401350045,14401350045,14644926044,14482382043,1
14421478044,14421478044,14644926044,14482382043,1
14441846043,14441846043,14644926044,14482382043,1
14462022043,14462022043,14644926044,14482382043,1
14482382043,14482382043,14644926044,14482382043,1
14502942043,14502942043,14644926044,14482382043,1
14522990046,14522990046,14644926044,14482382043,1
14543038046,14543038046,14644926044,14482382043,1
14563590046,14563590046,14644926044,14482382043,1
14584222047,14584222047,14644926044,14482382043,1
14604590043,14604590043,14644926044,14482382043,1
14624686043,14624686043,14644926044,14482382043,1
14644926044,14644926044,14644926044,14482382043,0
14217190043,14217190043,14665534047,14604590043,1
14237926043,14237926043,14665534047,14604590043,1
14257934044,14257934044,14665534047,14604590043,1
14278350047,14278350047,14665534047,14604590043,1
14298822047,14298822047,14665534047,14604590043,1
14319302045,14319302045,14665534047,14604590043,1
14339902047,14339902047,14665534047,14604590043,1
14360278043,14360278043,14665534047,14604590043,1
14380870043,14380870043,14665534047,14604590043,1
14401350045,14401350045,14665534047,14604590043,1
14421478044,14421478044,14665534047,14604590043,1
14441846043,14441846043,14665534047,14604590043,1
14462022043,14462022043,14665534047,14604590043,1
14482382043,14482382043,14665534047,14604590043,1
14502942043,14502942043,14665534047,14604590043,1
14522990046,14522990046,14665534047,14604590043,1
14543038046,14543038046,14665534047,14604590043,1
14563590046,14563590046,14665534047,14604590043,1
14584222047,14584222047,14665534047,14604590043,1
14604590043,14604590043,14665534047,14604590043,1
14624686043,14624686043,14665534047,14604590043,1
14644926044,14644926044,14665534047,14604590043,1
14665534047,14665534047,14665534047,14604590043,0
14217190043,14217190043,14685662047,14604590043,1
14237926043,14237926043,14685662047,14604590043,1
14257934044,14257934044,14685662047,14604590043,1
14278350047,14278350047,14685662047,14604590043,1
14298822047,14298822047,14685662047,14604590043,1
14319302045,14319302045,14685662047,14604590043,1
14339902047,14339902047,14685662047,14604590043,1
14360278043,14360278043,14685662047,14604590043,1
14380870043,14380870043,14685662047,14604590043,1
14401350045,14401350045,14685662047,14604590043,1
14421478044,14421478044,14685662047,14604590043,1
14441846043,14441846043,14685662047,14604590043,1
14462022043,14462022043,14685662047,14604590043,1
14482382043,14482382043,14685662047,14604590043,1
14502942043,14502942043,14685662047,14604590043,1
14522990046,14522990046,14685662047,14604590043,1
14543038046,14543038046,14685662047,14604590043,1
14563590046,14563590046,14685662047,14604590043,1
14584222047,14584222047,14685662047,14604590043,1
14604590043,14604590043,14685662047,14604590043,1
14624686043,14624686043,14685662047,14604590043,1
14644926044,14644926044,14685662047,14604590043,1
14665534047,14665534047,14685662047,14604590043,1
14685662047,14685662047,14685662047,14604590043,0
14217190043,14217190043,14705742043,14604590043,1
14237926043,14237926043,14705742043,14604590043,1
14257934044,14257934044,14705742043,14604590043,1
14278350047,14278350047,14705742043,14604590043,1
14298822047,14298822047,14705742043,14604590043,1
14319302045,14319302045,14705742043,14604590043,1
14339902047,14339902047,14705742043,14604590043,1
14360278043,14360278043,14705742043,14604590043,1
14380870043,14380870043,14705742043,14604590043,1
14401350045,14401350045,14705742043,14604590043,1
14421478044,14421478044,14705742043,14604590043,1
14441846043,14441846043,14705742043,14604590043,1
14462022043,14462022043,14705742043,14604590043,1
14482382043,14482382043,14705742043,14604590043,1
14502942043,14502942043,14705742043,14604590043,1
14522990046,14522990046,14705742043,14604590043,1
14543038046,14543038046,14705742043,14604590043,1
14563590046,14563590046,14705742043,14604590043,1
14584222047,14584222047,14705742043,14604590043,1
14604590043,14604590043,14705742043,14604590043,1
14624686043,14624686043,14705742043,14604590043,1
14644926044,14644926044,14705742043,14604590043,1
14665534047,14665534047,14705742043,14604590043,1
14685662047,14685662047,14705742043,14604590043,1
14705742043,14705742043,14705742043,14604590043,0
14217190043,14217190043,14726390043,14604590043,1
14237926043,14237926043,14726390043,14604590043,1
14257934044,14257934044,14726390043,14604590043,1
14278350047,14278350047,14726390043,14604590043,1
14298822047,14298822047,14726390043,14604590043,1
14319302045,14319302045,14726390043,14604590043,1
14339902047,14339902047,14726390043,14604590043,1
14360278043,14360278043,14726390043,14604590043,1
14380870043,14380870043,14726390043,14604590043,1
14401350045,14401350045,14726390043,14604590043,1
14421478044,14421478044,14726390043,14604590043,1
14441846043,14441846043,14726390043,14604590043,1
14462022043,14462022043,14726390043,14604590043,1
14482382043,14482382043,14726390043,14604590043,1
14502942043,14502942043,14726390043,14604590043,1
14522990046,14522990046,14726390043,14604590043,1
14543038046,14543038046,14726390043,14604590043,1
14563590046,14563590046,14726390043,14604590043,1
14584222047,14584222047,14726390043,14604590043,1
14604590043,14604590043,14726390043,14604590043,1
14624686043,14624686043,14726390043,14604590043,1
14644926044,14644926044,14726390043,14604590043,1
14665534047,14665534047,14726390043,14604590043,1
14685662047,14685662047,14726390043,14604590043,1
14705742043,14705742043,14726390043,14604590043,1
