t_us,hr_bpm,time_status,time_validity_reason,rmssd_ms,rmssd_ci_low_ms,rmssd_ci_high_ms,sdnn_ms,pnn50_percent,fiducial_quality_mean,fiducial_uncertainty_p95_ms,fiducial_shift_p95_ms,fiducial_unstable_ratio,frequency_status,frequency_validity_reason,total_power_ms2,vlf_ms2,lf_ms2,hf_ms2,lf_nu,hf_nu,lf_hf,hf_lf,median_frequency_hz,thm_power_ms2,resonance_band_power_ms2,resonance_share,lf_peak_frequency_hz,lf_peak_prominence_ratio,spectral_agreement,spectral_agreement_raw,spectral_shape_agreement,band_power_agreement,interpolation_agreement,sqi,overall_status,detected_artifact_ratio,corrected_ratio,unresolved_suspect_ratio,max_consecutive_artifacts,protocol_error_ratio,protocol_crc_errors,protocol_format_errors,protocol_seq_gaps
32342909271,76.8955719684882,VALID,,21.56093894648926,18.020591612711225,25.097783469516735,30.233173100244073,3.389830508474576,1.0,7.0,4.717199999999999,0.0,LIMITED,频域窗口积累中：245/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.999387821933631,LIMITED,0.0,0.0,0.0,0,6.243561327381138e-05,1,1,3
32363422056,87.16647925873626,VALID,,20.036588707932484,17.064966926627,23.33473336776618,48.500128017782004,0.0,1.0,7.0,4.721899999999999,0.0,LIMITED,频域窗口积累中：265/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.9994112497112497,LIMITED,0.0,0.0,0.0,0,5.775005775005775e-05,1,1,3
32383644101,78.83596076071447,VALID,,20.67496724650532,18.07223401060034,23.444416335737834,41.52851343782546,0.0,1.0,7.0,4.228749999999998,0.0,LIMITED,频域窗口积累中：285/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.9994309947812988,LIMITED,0.0,0.0,0.0,0,5.380104374024856e-05,1,1,3
32404015557,76.46916380969374,VALID,,21.369699992738813,18.396523041841352,24.544334278039358,37.61574289360953,0.0,1.0,7.0,4.00965,0.0,VALID,,2179.906862318431,1102.780375787047,850.9488446485183,139.41798263225698,85.92259163051196,14.077408369488037,6.10358024540541,0.16383826537756582,0.03804903640478271,300.8396952978136,236.70329491660416,0.23826207266115051,0.04296875,5.368812391457466,0.9199143822491636,0.7802855272893409,0.9255836392999615,0.9066861157973021,0.999954868361661,0.9994486300336837,VALID,0.0,0.0,0.0,0,5.0273993263284905e-05,1,1,3
32424401675,73.32982164965212,VALID,,20.79180863477453,16.99956050454181,23.763377549035205,32.4191929026906,1.694915254237288,1.0,7.0,4.574849999999999,0.0,VALID,,2333.767294515846,1328.863397961053,778.8508057936232,131.06469196901583,85.5959490423796,14.404050957620399,5.9424914070506984,0.16827958704551282,0.031051239039680996,270.5312119034804,223.42232755479264,0.24445880064864417,0.04296875,4.8486649122646295,0.9665652982964491,0.9243946173973762,0.980589670745159,0.933841762582793,0.9999773772618982,0.9994637162704977,VALID,0.0,0.0,0.0,0,4.725674590047729e-05,1,1,3
32444953544,72.18479307025986,VALID,,18.486301173241674,14.539976632222057,22.407827819553585,26.947890969010608,1.694915254237288,1.0,7.0,5.1198,0.0,VALID,,2135.928472502777,1264.1054417820687,655.7074024480596,124.94532428590469,83.99476233066635,16.005237669333646,5.247954704952742,0.19055042511252104,0.02886174092502882,235.82154037484455,192.10569269551894,0.24480676131226853,0.04296875,4.4705421393466125,0.9701285980161842,0.9394193071360782,0.9817570455980672,0.9429955536584576,0.9999767322437045,0.9994774216524217,VALID,0.0,0.0,0.0,0,4.451566951566952e-05,1,1,3
32465098359,72.0055588291416,VALID,,23.241176917455686,18.652763401402662,27.926990145687878,29.869430990378497,3.389830508474576,1.0,7.0,5.122649999999999,0.0,VALID,,1828.0861269070663,1075.1413480933895,550.7994052846923,118.97043490120093,82.23711672831058,17.76288327168941,4.6297166665155425,0.2159959392833922,0.02778331924414324,212.7966407476332,152.74815645464156,0.22694913229105154,0.04296875,5.727707803804516,0.9474041428193563,0.8841789295839116,0.9586059780730708,0.9212665272273559,0.999970927920924,0.9820939660851362,VALID,0.0,0.0,0.0,0,4.213453557208166e-05,1,1,3
32485267201,74.09264297101619,VALID,,24.428195011266695,20.391576058687818,28.921371439873564,29.545885892140937,3.389830508474576,1.0,7.0,5.1141499999999995,0.0,VALID,,1602.9108872987285,882.9686223720951,525.8717377178228,111.53954113628198,82.5011660702333,17.498833929766707,4.714666497285467,0.21210408001833503,0.030708271225853522,211.09842357560817,123.9621712981286,0.19377223276957514,0.04296875,7.797191735695285,0.9617805749180157,0.9093132752787176,0.9686197850455683,0.9458224179537263,0.9999592592183251,0.972434205911149,VALID,0.0,0.0,0.0,0,9.998400255959046e-05,2,3,10
32505399049,77.68549029255061,VALID,,24.16813837490333,18.95566808483043,27.099241524374825,31.77124444967609,3.389830508474576,1.0,7.0,4.7363,0.0,VALID,,1530.2397933118634,763.2507465283969,570.0249541714329,102.82993547614846,84.71736817874546,15.282631821254553,5.543375589335568,0.1803954979929225,0.03914147534319926,223.45435683602403,113.01314250187313,0.16754159638286717,0.04296875,10.403254549325254,0.9778637174340385,0.9208709969351845,0.9789038281854969,0.9754367923473025,0.9999445386737893,0.9992242445002665,VALID,0.0,0.0,0.0,0,9.515109994671538e-05,2,3,10
32525914114,74.97441498088777,VALID,,22.848095713402763,18.789467747153804,27.809994706171892,37.76887864819515,5.084745762711865,1.0,7.0,4.7189499999999995,0.0,VALID,,1489.6944608311887,664.1796703634766,619.099402828776,96.4834772001468,86.51679911679174,13.483200883208257,6.41663651429671,0.15584488817029465,0.04196577910997939,233.5800668076352,118.16260197212844,0.16480606315953011,0.04296875,12.659712700837968,0.9541102809785987,0.8822322984399554,0.9484355633867408,0.9673512886929341,0.9999368566537117,0.9992467401551962,VALID,0.0,0.0,0.0,0,9.065196896076583e-05,2,3,10
