metric,count,mean,median,std,p25,p75,min,max
total_power_ms2,32,2085.8902848623293,1768.6074863865351,853.8595190685438,1487.4632624377662,2759.9292211496613,1010.1685935709393,4128.785457461528
vlf_ms2,32,849.2302713513836,692.9886385820396,469.2743956763063,432.49990430389954,1271.6113179287966,286.16405439381845,1870.650148526831
lf_ms2,32,979.6081727499109,854.7208414721332,474.7742288998527,617.9679836077091,1215.7994620033487,494.35240448232986,2334.85025962033
hf_ms2,32,191.47223433719705,165.05558052263362,98.15980673759262,130.30022649138186,178.25531587680624,96.4834772001468,468.9547378445857
lf_nu,32,83.39913117328754,83.64198375481513,3.3355191908244968,81.2772371075701,85.67760968941269,76.82161068707349,88.83266821129571
hf_nu,32,16.60086882671247,16.358016245184864,3.3355191908244963,14.32239031058731,18.7227628924299,11.1673317887043,23.17838931292651
lf_hf,32,5.2721897128031125,5.113254651978746,1.3069686588240201,4.350198872527911,5.982763616639376,3.3143636363131734,7.954690510865763
hf_lf,32,0.20093047674525358,0.1955721637352167,0.04849599621161828,0.16716925662852608,0.23047467079580278,0.12571199327416235,0.30171704427471285
median_frequency_hz,32,0.05002759010307578,0.044553107995994726,0.01725977242030485,0.03886836560859512,0.05426618246252951,0.02778331924414324,0.08786843072749137
spectral_agreement,32,0.9267932253780606,0.9308378175679115,0.032573905500461825,0.9112832147350576,0.9488673604341018,0.8315563575092877,0.9778637174340385
spectral_agreement_raw,32,0.8195283439284797,0.8117414173109792,0.05626327938589555,0.7873281858824766,0.846848145642223,0.7247849571921025,0.9394193071360782
spectral_shape_agreement,32,0.9286064468769513,0.9326493258048518,0.037662314584564024,0.908819799435404,0.9516819970650033,0.831104089202958,0.9817570455980672
band_power_agreement,32,0.9225623752139827,0.9302210843834959,0.033619494141953477,0.9040221659931782,0.9463232368884595,0.8326116502240571,0.9754367923473025
interpolation_agreement,32,0.9998454036392508,0.9998945030657711,0.00012150049541112926,0.9997566138952744,0.9999301050129654,0.9995194025115814,0.9999773772618982
