t_us,rmssd_ms,valid_rr_count,artifact_ratio,valid
70792661920,49.34,60,0.0,1
70812669920,60.25,60,0.0,1
70832669920,107.07,60,0.0,1
70852669920,142.74,60,0.0,1
70872669920,142.11,60,0.0,1
70892669920,135.38,60,0.0,1
70912669920,37.96,60,0.0,1
70932677916,38.88,60,0.0,1
70952677920,140.72,60,0.0,1
70972677920,138.66,60,0.0,1
70992677920,138.52,60,0.0,1
71012685920,27.06,60,0.0,1
71032685920,27.83,60,0.0,1
71052685920,30.15,60,0.0,1
71072693917,32.26,60,0.0,1
71092693921,31.13,60,0.0,1
71112701920,37.19,60,0.0,1
71132701920,41.88,60,0.0,1
71152701920,42.35,60,0.0,1
71172701920,43.6,60,0.0,1
71192701920,43.6,60,0.0,1
71212709917,50.52,60,0.0,1
71232717920,54.8,60,0.0,1
71252725920,51.75,60,0.0,1
71272733920,53.34,60,0.0,1
71292741920,53.34,60,0.0,1
71312749918,53.34,60,0.0,1
71332757920,53.34,60,0.0,1
71352765921,53.34,60,0.0,1
71372773916,53.34,60,0.0,1
71392773920,53.34,60,0.0,1
71412773920,53.34,60,0.0,1
71432773921,53.34,60,0.0,1
71452781918,53.34,60,0.0,1
71472781920,53.34,60,0.0,1
71492781920,53.34,60,0.0,1
71512789918,54.1,60,0.0,1
71532797921,54.1,60,0.0,1
71552805921,54.1,60,0.0,1
71572813916,54.1,60,0.0,1
71592813916,50.66,60,0.0,1
71612813920,48.15,60,0.0,1
71632813920,51.91,60,0.0,1
71652813920,50.47,60,0.0,1
71672821920,44.75,60,0.0,1
71692821920,37.1,60,0.0,1
71712821921,29.85,60,0.0,1
71732821921,27.63,60,0.0,1
71752829921,31.06,60,0.0,1
71772837920,31.12,60,0.0,1
