t_us,last_committed_t_us,polarity,template_correlation,autocorr_estimated_rr_ms,firmware_expected_rr_ms,candidate_peak_count,final_peak_count,inserted_peak_count,firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason,rejected_candidate_count,long_gap_rescue_count,waveform_amplitude,commit_until_t_us,latest_sample_t_us,reinit_reason
67681797920,67674077918,1,0.828571,683.998500,688.000000,35,0,0,0,35,29,29,6,0.828571,0.000000,682.352989,683.998500,0.043348,dual_consensus_update,0,0,5.338159,67674363920,67681613920,
67686797920,67679413920,1,0.848485,688.000000,684.001500,33,1,0,0,33,28,28,5,0.848485,0.000000,687.996732,688.000000,0.051710,dual_consensus_update,0,0,5.267076,67679451920,67686701920,
67691797920,67684317920,1,0.903226,688.000000,680.002000,31,0,0,0,31,28,28,3,0.903226,0.000000,687.533051,688.000000,0.034479,dual_strong_update,0,0,4.572244,67684539917,67691789917,
67696805920,67689093918,1,0.875000,687.998000,691.998500,32,0,0,0,32,28,28,4,0.875000,0.000000,688.064561,687.998000,0.068948,dual_consensus_update,0,0,4.675105,67689419920,67696669920,
67701805920,67694053917,1,0.900000,707.999000,720.000000,30,0,0,0,30,27,27,3,0.900000,0.000000,709.320383,707.999000,0.041884,dual_strong_update,1,0,4.539260,67694491921,67701741921,
67706805920,67699109920,1,0.870968,712.003000,716.001000,31,0,0,0,31,27,27,4,0.870968,0.000000,712.022154,712.003000,0.041647,dual_consensus_update,0,0,5.328981,67699387920,67706637920,
67711805921,67704117920,1,0.870968,719.998500,719.999000,31,0,0,0,31,27,27,4,0.870968,0.000000,719.758428,719.998500,0.032946,dual_consensus_update,1,0,5.205253,67704459917,67711709917,
67716813920,67708781917,1,0.900000,724.000500,780.002000,30,1,0,1,30,27,27,3,0.900000,0.000000,722.304404,724.000500,0.057341,dual_strong_update,0,0,4.539515,67709563920,67716813920,
67721821917,67714157920,1,0.870968,728.001500,744.000000,31,0,0,0,31,27,27,4,0.870968,0.000000,727.996048,728.001500,0.081460,dual_consensus_update,0,0,4.263016,67714427917,67721677917,
67726821919,67719357916,1,0.742857,752.002000,724.000000,35,1,0,1,35,26,26,9,0.742857,0.000000,728.002716,728.003000,0.048875,hold_previous_good_window,1,0,4.649390,67719523917,67726773917,
67731821920,67724285920,1,0.750000,712.001500,699.999500,36,1,0,1,36,27,27,9,0.750000,0.000000,716.062738,712.001500,0.049965,dual_consensus_update,0,0,4.466844,67724395920,67731645920,
67736829920,67729117916,1,0.736842,687.997000,683.998500,38,0,0,0,38,28,28,10,0.736842,0.000000,711.713717,687.997000,0.051723,hold_previous_good_window,0,0,4.707086,67729483917,67736733917,
67741837921,67734493917,1,0.763158,672.001000,663.996000,38,1,0,0,38,29,29,9,0.763158,0.000000,672.682207,672.001000,0.070597,dual_consensus_update,0,0,4.747912,67734547920,67741797920,
67746845920,67738885920,1,0.878788,667.998000,668.002000,33,0,0,0,33,29,29,4,0.878788,0.000000,670.248414,667.998000,0.062144,dual_consensus_update,0,0,4.311104,67739403921,67746653921,
67751853920,67744277920,1,0.833333,656.003000,683.999000,36,0,0,0,36,30,30,6,0.833333,0.000000,656.031011,656.003000,0.054239,dual_consensus_update,0,0,4.522367,67744507917,67751757917,
