t_us,window_start_t_us,window_end_t_us,sample_count,raw_min,raw_p05,raw_p50,raw_p95,raw_max,avg_p05,avg_p50,avg_p95,filtered_p05,filtered_p50,filtered_p95,filtered_std,filtered_peak_to_peak,clip_low_ratio,clip_high_ratio,wear_ratio,wear_transition_count,max_no_wear_run_ms,candidate_count,detector_score_p50,expected_rr_ms_p50,firmware_hr_bpm_p50,firmware_hr_zero_ratio,effective_sample_rate_hz,timing_jitter_p95_ms,sqi,sqi_wear_ratio,sqi_clip_low_ratio,sqi_clip_high_ratio,transport_score,transport_status,contact_score,contact_status,protocol_error_ratio,protocol_seq_gaps,sample_drop_count,sample_queue_depth,sample_queue_high_water,corrector_reference_rr_ms,corrector_autocorr_confidence,corrector_polarity,corrector_candidate_count,corrector_selected_count,corrector_inserted_count,corrector_firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason
67601749920,67596757920,67601749920,625,0.000000,41.600000,115.000000,475.800000,569.000000,49.200000,118.000000,447.000000,-116.000000,-56.000000,255.800000,127.434087,505.000000,0.009600,0.000000,1.000000,0,0.000000,29,0.507000,712.000000,84.300000,0.000000,125.000000,0.004000,0.977304,1.000000,0.009600,0.000000,0.997111,VALID,0.968800,VALID,0.000159,0,0,0,3,711.998500,0.870968,1,31,0,0,0,31,27,27,4,0.870968,0.000000,711.968713,711.998500,0.033322,dual_consensus_update
67606749920,67601749920,67606749920,626,0.000000,0.000000,132.000000,535.500000,703.000000,2.000000,139.500000,509.750000,-176.000000,-39.000000,306.500000,155.680149,637.000000,0.107029,0.000000,1.000000,0,0.000000,26,0.553500,688.000000,87.200000,0.000000,125.000000,0.004000,0.758166,1.000000,0.107029,0.000000,0.997303,VALID,0.652157,LIMITED,0.000144,0,0,0,3,691.998000,0.931034,1,29,0,0,0,29,27,27,2,0.931034,0.000000,693.449614,691.998000,0.042863,dual_strong_update
67611757918,67606757921,67611757918,626,0.000000,39.500000,125.000000,458.750000,505.000000,50.250000,127.000000,435.000000,-125.250000,-52.000000,239.750000,117.612874,443.000000,0.017572,0.000000,1.000000,0,0.000000,31,0.505500,718.400000,82.400000,0.000000,125.000000,0.004000,0.959502,1.000000,0.017572,0.000000,0.997446,VALID,0.942891,VALID,0.000132,0,0,0,3,707.997500,0.870968,1,31,0,0,0,31,27,27,4,0.870968,0.000000,709.625368,707.997500,0.058629,dual_consensus_update
67616757919,67611765917,67616757919,625,21.000000,58.200000,126.000000,464.000000,506.000000,61.200000,131.000000,437.400000,-106.000000,-51.000000,240.000000,112.635808,410.000000,0.000000,0.000000,1.000000,0,0.000000,37,0.494000,726.400000,82.400000,0.000000,125.000000,0.004000,0.999092,1.000000,0.000000,0.000000,0.997581,VALID,1.000000,VALID,0.000122,0,0,0,3,712.000500,0.794118,1,34,0,0,0,33,28,27,7,0.794118,0.000000,712.276287,712.000500,0.049974,dual_consensus_update
67621757920,67616765921,67621757920,625,25.000000,54.000000,118.000000,470.600000,514.000000,58.000000,119.000000,444.800000,-115.000000,-60.000000,246.000000,122.732822,414.000000,0.000000,0.000000,1.000000,0,0.000000,27,0.522000,707.200000,84.300000,0.000000,125.000000,0.004000,0.999134,1.000000,0.000000,0.000000,0.997685,VALID,1.000000,VALID,0.000113,0,0,0,3,711.997500,0.771429,1,35,0,0,0,34,28,27,8,0.771429,0.000000,707.067845,711.997500,0.033325,dual_consensus_update
67626765920,67621765921,67626765920,626,0.000000,0.000000,126.000000,483.750000,653.000000,13.250000,129.500000,459.750000,-156.750000,-49.500000,260.500000,132.844672,582.000000,0.054313,0.000000,1.000000,0,0.000000,31,0.522000,699.200000,86.200000,0.000000,125.000000,0.004000,0.876969,1.000000,0.054313,0.000000,0.997784,VALID,0.823482,VALID,0.000105,0,0,0,3,711.996500,0.843750,1,32,1,0,1,32,27,27,5,0.843750,0.000000,711.895089,711.996500,0.033320,dual_consensus_update
67631773920,67626773920,67631773920,626,0.000000,51.500000,125.000000,461.750000,528.000000,61.000000,128.000000,436.000000,-117.750000,-55.000000,235.000000,118.475496,459.000000,0.001597,0.000000,1.000000,0,0.000000,30,0.508000,707.200000,84.300000,0.000000,125.000000,0.004000,0.995611,1.000000,0.001597,0.000000,0.997863,VALID,0.994808,VALID,0.000099,0,0,0,3,696.002000,0.794118,1,34,1,0,1,34,27,27,7,0.794118,0.000000,700.304489,696.002000,0.034086,dual_consensus_update
67636773920,67631773920,67636773920,626,0.000000,25.750000,146.500000,412.750000,513.000000,39.000000,150.000000,398.750000,-143.750000,-30.500000,195.500000,104.477767,440.000000,0.009585,0.000000,1.000000,0,0.000000,37,0.526000,696.000000,84.300000,0.000000,125.000000,0.004000,0.977670,1.000000,0.009585,0.000000,0.997939,VALID,0.968850,VALID,0.000093,0,0,0,3,688.000000,0.800000,1,35,1,0,1,35,28,28,7,0.800000,0.000000,688.145946,688.000000,0.051714,dual_consensus_update
67641773920,67636773920,67641773920,626,0.000000,70.500000,169.000000,400.750000,440.000000,77.000000,170.000000,379.750000,-119.500000,-19.000000,171.000000,89.773896,369.000000,0.006390,0.000000,1.000000,0,0.000000,34,0.535500,680.000000,88.200000,0.000000,125.000000,0.004000,0.984883,1.000000,0.006390,0.000000,0.998000,VALID,0.979233,VALID,0.000088,0,0,0,3,672.000000,0.805556,1,36,1,0,1,36,29,29,7,0.805556,0.000000,675.617723,672.000000,0.052953,dual_consensus_update
67646773920,67641773920,67646773920,626,0.000000,51.000000,120.000000,463.000000,503.000000,63.250000,121.000000,436.750000,-120.000000,-65.500000,232.000000,114.932192,417.000000,0.004792,0.000000,1.000000,0,0.000000,33,0.524000,672.000000,89.300000,0.000000,125.000000,0.004000,0.988502,1.000000,0.004792,0.000000,0.998061,VALID,0.984425,VALID,0.000083,0,0,0,3,680.000000,0.707317,1,41,0,0,0,41,29,29,12,0.707317,0.000000,664.038399,659.999000,0.062899,hold_previous_good_window
